partyId,agent,seedIndex,decisions,repeatedTitlesExact,repeatedTitlesNormalized,repeatedNarrativesExact,repeatedNarrativesNormalized,repeatsWithin5,repeatsWithin10,chainJustifiedRepeats
lfi,opportuniste_electoral,6,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,7,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,8,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,9,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,10,25,0,0,0,0,0,0,0
lfi,opportuniste_electoral,11,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,12,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,13,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,14,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,15,29,0,0,0,0,0,0,0
lfi,opportuniste_electoral,16,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,17,29,0,0,0,0,0,0,0
lfi,opportuniste_electoral,18,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,19,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,20,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,21,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,22,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,23,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,24,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,25,29,0,0,0,0,0,0,0
lfi,opportuniste_electoral,26,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,27,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,28,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,29,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,30,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,31,29,0,0,0,0,0,0,0
lfi,opportuniste_electoral,32,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,33,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,34,29,0,0,0,0,0,0,0
lfi,opportuniste_electoral,35,29,0,0,0,0,0,0,0
lfi,opportuniste_electoral,36,29,0,0,0,0,0,0,0
lfi,opportuniste_electoral,37,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,38,29,0,0,0,0,0,0,0
lfi,opportuniste_electoral,39,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,40,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,41,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,42,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,43,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,44,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,45,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,46,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,47,25,0,0,0,0,0,0,0
lfi,opportuniste_electoral,48,29,0,0,0,0,0,0,0
lfi,opportuniste_electoral,49,29,0,0,0,0,0,0,0
lfi,opportuniste_electoral,50,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,51,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,52,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,53,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,54,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,55,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,56,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,57,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,58,31,0,0,0,0,0,0,0
lfi,opportuniste_electoral,59,31,0,0,0,0,0,0,0
lfi,parti_dabord,0,31,0,0,0,0,0,0,0
lfi,parti_dabord,1,31,0,0,0,0,0,0,0
lfi,parti_dabord,2,31,0,0,0,0,0,0,0
lfi,parti_dabord,3,31,0,0,0,0,0,0,0
lfi,parti_dabord,4,29,0,0,0,0,0,0,0
lfi,parti_dabord,5,31,0,0,0,0,0,0,0
lfi,parti_dabord,6,31,0,0,0,0,0,0,0
lfi,parti_dabord,7,29,0,0,0,0,0,0,0
lfi,parti_dabord,8,31,0,0,0,0,0,0,0
lfi,parti_dabord,9,29,0,0,0,0,0,0,0
lfi,parti_dabord,10,31,0,0,0,0,0,0,0
lfi,parti_dabord,11,29,0,0,0,0,0,0,0
lfi,parti_dabord,12,31,0,0,0,0,0,0,0
lfi,parti_dabord,13,31,0,0,0,0,0,0,0
lfi,parti_dabord,14,31,0,0,0,0,0,0,0
lfi,parti_dabord,15,31,0,0,0,0,0,0,0
lfi,parti_dabord,16,31,0,0,0,0,0,0,0
lfi,parti_dabord,17,31,0,0,0,0,0,0,0
lfi,parti_dabord,18,29,0,0,0,0,0,0,0
lfi,parti_dabord,19,31,0,0,0,0,0,0,0
lfi,parti_dabord,20,31,0,0,0,0,0,0,0
lfi,parti_dabord,21,29,0,0,0,0,0,0,0
lfi,parti_dabord,22,29,0,0,0,0,0,0,0
lfi,parti_dabord,23,31,0,0,0,0,0,0,0
lfi,parti_dabord,24,31,0,0,0,0,0,0,0
lfi,parti_dabord,25,29,0,0,0,0,0,0,0
lfi,parti_dabord,26,31,0,0,0,0,0,0,0
lfi,parti_dabord,27,29,0,0,0,0,0,0,0
lfi,parti_dabord,28,31,0,0,0,0,0,0,0
lfi,parti_dabord,29,31,0,0,0,0,0,0,0
lfi,parti_dabord,30,31,0,0,0,0,0,0,0
lfi,parti_dabord,31,31,0,0,0,0,0,0,0
lfi,parti_dabord,32,31,0,0,0,0,0,0,0
lfi,parti_dabord,33,29,0,0,0,0,0,0,0
lfi,parti_dabord,34,31,0,0,0,0,0,0,0
lfi,parti_dabord,35,29,0,0,0,0,0,0,0
lfi,parti_dabord,36,29,0,0,0,0,0,0,0
lfi,parti_dabord,37,31,0,0,0,0,0,0,0
lfi,parti_dabord,38,31,0,0,0,0,0,0,0
lfi,parti_dabord,39,31,0,0,0,0,0,0,0
lfi,parti_dabord,40,31,0,0,0,0,0,0,0
lfi,parti_dabord,41,31,0,0,0,0,0,0,0
lfi,parti_dabord,42,31,0,0,0,0,0,0,0
lfi,parti_dabord,43,31,0,0,0,0,0,0,0
lfi,parti_dabord,44,31,0,0,0,0,0,0,0
lfi,parti_dabord,45,31,0,0,0,0,0,0,0
lfi,parti_dabord,46,31,0,0,0,0,0,0,0
lfi,parti_dabord,47,29,0,0,0,0,0,0,0
lfi,parti_dabord,48,31,0,0,0,0,0,0,0
lfi,parti_dabord,49,29,0,0,0,0,0,0,0
lfi,parti_dabord,50,31,0,0,0,0,0,0,0
lfi,parti_dabord,51,31,0,0,0,0,0,0,0
lfi,parti_dabord,52,31,0,0,0,0,0,0,0
lfi,parti_dabord,53,31,0,0,0,0,0,0,0
lfi,parti_dabord,54,31,0,0,0,0,0,0,0
lfi,parti_dabord,55,31,0,0,0,0,0,0,0
lfi,parti_dabord,56,31,0,0,0,0,0,0,0
lfi,parti_dabord,57,29,0,0,0,0,0,0,0
lfi,parti_dabord,58,31,0,0,0,0,0,0,0
lfi,parti_dabord,59,31,0,0,0,0,0,0,0
lfi,mediatique,0,31,0,0,0,0,0,0,0
lfi,mediatique,1,29,0,0,0,0,0,0,0
lfi,mediatique,2,25,0,0,0,0,0,0,0
lfi,mediatique,3,29,0,0,0,0,0,0,0
lfi,mediatique,4,29,0,0,0,0,0,0,0
lfi,mediatique,5,25,0,0,0,0,0,0,0
lfi,mediatique,6,31,0,0,0,0,0,0,0
lfi,mediatique,7,29,0,0,0,0,0,0,0
lfi,mediatique,8,31,0,0,0,0,0,0,0
lfi,mediatique,9,25,0,0,0,0,0,0,0
