eventId,choiceId,choiceTag,n,avgFinalScore,avgQualified,avgWon
party_nouvelle_energie_program_dilemma,nouvelle_energie_program_health_protection,PRUDENT,144,89.33,0.924,0.854
party_nouvelle_energie_alliance,nouvelle_energie_alliance_compete,OFFENSIF,94,75.99,0.638,0.5
party_nouvelle_energie_runoff,nouvelle_energie_runoff_civic_government,PRÉSIDENTIEL,171,90.05,1,0.871
party_nouvelle_energie_alliance,nouvelle_energie_alliance_one_project,PRUDENT,100,93.32,1,0.95
party_nouvelle_energie_fronde,nouvelle_energie_fronde_negotiate_terms,PRUDENT,77,85.3,0.831,0.74
party_nouvelle_energie_crisis_followup,nouvelle_energie_crisis_members_vote,TRANSPARENT,50,87.22,0.88,0.8
party_nouvelle_energie_identity,nouvelle_energie_identity_territories,PRUDENT,71,92.21,0.986,0.958
party_nouvelle_energie_local_asset,nouvelle_energie_local_professional_campaign,OPPORTUNISTE,108,83.46,0.796,0.685
party_nouvelle_energie_identity,nouvelle_energie_identity_coalition,RASSEMBLEUR,65,74.02,0.6,0.492
party_nouvelle_energie_crisis_followup,nouvelle_energie_crisis_legislative_pact,PRUDENT,68,89.01,0.912,0.838
party_nouvelle_energie_program_dilemma,nouvelle_energie_program_health_vouchers,CLIVANT,60,78.2,0.7,0.567
party_nouvelle_energie_fronde,nouvelle_energie_fronde_confirm_candidate,PRÉSIDENTIEL,83,90.61,0.94,0.88
custom_500_signatures,custom_signatures_public_counter,OFFENSIF,87,75.1,0.598,0.414
custom_identity_interview,custom_identity_vote_useful,OPPORTUNISTE,42,52.81,0.167,0.119
custom_federal_charter,custom_federal_common_floor,INSTITUTIONNEL,50,82.3,0.76,0.6
custom_local_network,custom_network_certification,PRUDENT,222,79.09,0.694,0.514
custom_identity_interview,custom_identity_three_proofs,PRÉSIDENTIEL,163,81.45,0.761,0.571
custom_neighbor_offers,custom_neighbors_public_terms,TRANSPARENT,56,83.89,0.857,0.625
custom_runoff_mandate,custom_runoff_public_contract,RASSEMBLEUR,63,59.24,0.286,0.159
custom_500_signatures,custom_signatures_cross_party,INSTITUTIONNEL,141,83.32,0.809,0.596
custom_federal_charter,custom_federal_local_referenda,RISQUÉ,55,69.73,0.455,0.4
custom_runoff_mandate,custom_runoff_keep_manifesto,LOYAL,182,85.49,0.885,0.692
custom_500_signatures,custom_signatures_rural_tour,PRUDENT,86,68.52,0.523,0.337
custom_first_accounts,custom_accounts_cut_tour,TECHNIQUE,37,75.89,0.649,0.459
custom_first_accounts,custom_accounts_member_loan,TRANSPARENT,85,85.09,0.906,0.682
custom_runoff_mandate,custom_runoff_coalition_team,RISQUÉ,321,81.1,0.766,0.598
custom_coherent_manifesto,custom_manifesto_open_model,TRANSPARENT,71,84.06,0.845,0.662
custom_local_network,custom_network_federation,RASSEMBLEUR,103,63.99,0.437,0.223
custom_first_accounts,custom_accounts_large_donors,RISQUÉ,95,67.4,0.432,0.337
custom_identity_interview,custom_identity_method,TRANSPARENT,80,78.66,0.713,0.463
custom_members_growth,custom_members_budget_council,RASSEMBLEUR,40,74.95,0.55,0.4
custom_members_growth,custom_members_consult_only,PRUDENT,21,60.52,0.381,0.19
custom_coherent_manifesto,custom_manifesto_priority_note,PRUDENT,103,82.7,0.806,0.641
custom_neighbor_offers,custom_neighbors_refuse,LOYAL,126,85.59,0.905,0.698
custom_neighbor_offers,custom_neighbors_closest,RASSEMBLEUR,130,64.14,0.338,0.231
custom_coherent_manifesto,custom_manifesto_public_debate,OFFENSIF,71,58.21,0.169,0.141
custom_vertical_council,custom_vertical_internal_vote,RASSEMBLEUR,72,83.25,0.833,0.708
custom_officials_support,custom_officials_open_commission,INSTITUTIONNEL,54,83.28,0.833,0.63
custom_officials_support,custom_officials_guarantee,OPPORTUNISTE,40,64.75,0.375,0.25
custom_vertical_council,custom_vertical_keep_nominee,CLIVANT,52,70.27,0.5,0.404
custom_experts_panel,custom_experts_pairing,RASSEMBLEUR,100,84.9,0.89,0.63
custom_experts_panel,custom_experts_single_voice,PRÉSIDENTIEL,47,63.98,0.34,0.234
custom_collective_arbitration,custom_collective_split_budget,TECHNIQUE,31,60.65,0.258,0.226
custom_collective_arbitration,custom_collective_members_decide,RASSEMBLEUR,76,84.37,0.855,0.684
