eventId,choiceId,choiceTag,n,avgFinalScore,avgQualified,avgWon
media_live_stream,livestream_continue_all,POPULAIRE,887,76.5,0.7,0.559
debate_expose_contradiction_centrist,expose_contradiction_public,CLIVANT,373,77.82,0.732,0.576
campaign_student_forum,students_rent_guarantee,TECHNIQUE,102,82.98,0.824,0.716
rare_exceptional_powers,exceptional_powers_never,CLIVANT,80,73.46,0.65,0.55
party_lfi_electorate,lfi_electorate_vote_ultimatum,OFFENSIF,69,68.19,0.667,0.536
world_rival_leadership_tension,rival_leadership_tension_solidarity,RASSEMBLEUR,126,89.31,0.96,0.865
debate_all_candidates,all_candidates_drop_subsidy,TRANSPARENT,434,82.78,0.811,0.698
debate_challenge_frontrunner,challenge_frontrunner_decline,PRUDENT,777,75.49,0.682,0.568
runoff_favorite_pressure,favorite_pressure_turnout,PRUDENT,935,87.86,0.978,0.822
government_prime_minister,prime_minister_independent,PRÉSIDENTIEL,1072,91.07,0.991,0.969
internal_youth_wing,youth_wing_refuse,OFFENSIF,131,67.09,0.58,0.45
program_school,school_class_size,POPULAIRE,152,78.3,0.737,0.612
campaign_official_launch,launch_costed_purchasing_power,TECHNIQUE,258,83,0.81,0.717
scandal_donation_route,donation_route_verify,TECHNIQUE,26,83,0.808,0.731
party_lfi_identity,lfi_identity_groups,RASSEMBLEUR,104,86.14,0.99,0.827
media_economic_morning,economic_morning_exact,RISQUÉ,167,81.73,0.796,0.689
program_integration_contract,integration_contract_mandatory_tests,INSTITUTIONNEL,539,84.81,0.87,0.766
media_fact_check_followup,fact_check_release_model,TRANSPARENT,61,89.54,0.967,0.869
campaign_market_walkabout,market_energy_receipts,TRANSPARENT,1582,83.68,0.841,0.714
world_housing_protest,housing_protest_emergency_fund,PRUDENT,86,86.98,0.93,0.779
internal_financial_review,financial_review_rebuild,PRUDENT,168,62.35,0.446,0.345
party_lfi_program_dilemma,lfi_program_coalition,RASSEMBLEUR,59,72.71,0.78,0.61
world_economic_slowdown,slowdown_business_cash,TECHNIQUE,261,82.26,0.774,0.693
scandal_treasurer_invoices,treasurer_invoices_keep,LOYAL,334,78.14,0.763,0.596
debate_duel_interruption,duel_interruption_confront,OFFENSIF,549,79.7,0.758,0.641
party_lfi_fronde,lfi_fronde_social_month,POPULAIRE,87,79.76,0.862,0.667
program_europe,europe_national_opt_out,OFFENSIF,496,76.85,0.704,0.587
program_family_reunification,family_reunification_faster_processing,TECHNIQUE,503,81.48,0.795,0.682
scandal_false_resume,false_resume_suspend,PRUDENT,315,71.98,0.622,0.495
runoff_final_debate,final_debate_attack_record,OFFENSIF,933,84.26,0.975,0.745
runoff_common_program,common_program_eight,TRANSPARENT,518,89.29,0.979,0.865
runoff_last_hours,last_hours_surprise,RISQUÉ,785,88.58,0.985,0.834
government_first_address,first_address_convention,RASSEMBLEUR,121,86.13,0.992,0.983
government_ministry_conflict,ministry_conflict_split,RASSEMBLEUR,546,90.66,0.987,0.971
internal_recruitment,recruitment_field_now,POPULAIRE,767,72.99,0.644,0.506
program_wages,wages_cut_contributions,TECHNIQUE,187,69.43,0.578,0.449
campaign_factory_visit,factory_listen_shift,POPULAIRE,464,77.88,0.716,0.578
scandal_family_hire,family_hire_defend,LOYAL,161,81.04,0.801,0.677
media_fictional_editorial_support,editorial_support_boundaries,TRANSPARENT,759,85.76,0.877,0.768
campaign_endorsements_missing,endorsements_cross_party,INSTITUTIONNEL,866,83.41,0.83,0.681
program_end_of_life,end_of_life_active_assistance,CLIVANT,532,74.27,0.682,0.485
campaign_weather_disaster,weather_silent_safety,PRUDENT,241,74.79,0.676,0.585
internal_spokesperson_mistake,spokesperson_correct,LOYAL,340,85.34,0.862,0.762
debate_post_show_spin,post_show_no_spin,PRUDENT,211,59.35,0.374,0.261
party_lfi_signature,lfi_signature_parliament_first,PRUDENT,62,88.55,0.984,0.887
scandal_donation_route,donation_route_return,PRUDENT,179,87.8,0.911,0.804
party_lfi_program_dilemma,lfi_program_unilateral,CLIVANT,105,73.18,0.781,0.533
runoff_final_debate,final_debate_direct_appeal,POPULAIRE,478,86.46,0.975,0.82
campaign_volunteer_surge,volunteers_local_training,PRUDENT,456,69.44,0.596,0.432
internal_recruitment,recruitment_sections,RASSEMBLEUR,251,85.41,0.869,0.745
internal_nomination_rules,nomination_candidate_team,PRÉSIDENTIEL,474,69.05,0.557,0.399
internal_volunteer_conflict,volunteer_conflict_digital,RISQUÉ,462,70.27,0.571,0.439
campaign_calendar_conflict,calendar_split_trip,RISQUÉ,309,69.01,0.54,0.453
rare_parrot_quote,parrot_no_use,LOYAL,16,89,0.938,0.813
world_floods,floods_go_now,RISQUÉ,535,75.22,0.669,0.564
program_secularism,secularism_current_framework,TECHNIQUE,631,83.28,0.842,0.702
internal_program_committee,program_committee_members_vote,RASSEMBLEUR,521,82.7,0.833,0.695
program_end_of_life,end_of_life_palliative_only,PRUDENT,300,86.21,0.893,0.75
media_local_press,local_press_mobile_services,TECHNIQUE,259,74.97,0.653,0.525
debate_unknown_question,unknown_question_national_plan,PRÉSIDENTIEL,200,80.86,0.745,0.63
scandal_supplier_overbilling,supplier_overbilling_public,RISQUÉ,191,81.69,0.78,0.66
program_labor_immigration,labor_immigration_european_priority,CLIVANT,1047,80.67,0.798,0.666
media_local_press,local_press_doctor_requirement,CLIVANT,735,75.01,0.68,0.532
campaign_endorsements_missing,endorsements_private_route,PRUDENT,250,84.6,0.872,0.728
internal_rival_interview,rival_interview_vote,INSTITUTIONNEL,160,85.08,0.869,0.75
scandal_false_resume,false_resume_resign,TRANSPARENT,281,87.15,0.907,0.783
party_lfi_local_asset,lfi_local_commitments,POPULAIRE,107,88.47,1,0.916
media_unflattering_photo,photo_publish_sequence,TRANSPARENT,269,87.22,0.881,0.781
world_european_vote,european_vote_national_fund,LOYAL,120,73.17,0.708,0.592
debate_post_show_spin,post_show_claim_win,OFFENSIF,194,75.27,0.691,0.541
world_national_strike,strike_minimum_service,OFFENSIF,66,70.3,0.606,0.5
world_floods,floods_cancel_donate,PRUDENT,698,82.01,0.807,0.681
runoff_common_program,common_program_method,INSTITUTIONNEL,961,90.36,0.991,0.881
government_balance,government_balance_small_team,OFFENSIF,685,89.52,0.981,0.974
campaign_budget_arbitration,budget_cut_large_rallies,PRUDENT,307,86.86,0.893,0.749
media_silence_day,silence_publish_schedule,PRUDENT,537,86.05,0.89,0.745
program_health,health_primary_care,INSTITUTIONNEL,231,86.22,0.879,0.719
scandal_local_expenses,local_expenses_separate,TRANSPARENT,305,87.9,0.915,0.82
world_housing_protest,housing_protest_requisition,CLIVANT,104,77.38,0.731,0.548
internal_primary_debt,primary_debt_honor,LOYAL,360,84.11,0.85,0.717
alliance_parliamentary_group,parliamentary_group_charter,INSTITUTIONNEL,566,74.28,0.673,0.542
world_international_crisis,international_strategic_reserve,TECHNIQUE,119,67.75,0.538,0.403
debate_duel_interruption,duel_interruption_direct_address,POPULAIRE,386,83.61,0.832,0.699
program_school,school_autonomy,CLIVANT,503,65.88,0.493,0.376
scandal_plagiarized_report,plagiarized_report_public_domain,CLIVANT,283,63.49,0.452,0.332
debate_expose_contradiction_centrist,expose_contradiction_question_only,TECHNIQUE,184,57.85,0.375,0.266
campaign_non_aggression_overture,non_aggression_refuse,OFFENSIF,509,84.19,0.829,0.701
campaign_calendar_conflict,calendar_choose_tv,PRÉSIDENTIEL,188,72.12,0.606,0.473
internal_recruitment,recruitment_training,PRUDENT,394,87.09,0.896,0.802
alliance_mayors_appeal,mayors_contract,INSTITUTIONNEL,608,79.26,0.734,0.61
media_silence_day,silence_cancel_pause,RISQUÉ,1158,75.18,0.684,0.541
program_immigration,immigration_faster_procedures,INSTITUTIONNEL,316,85.25,0.861,0.744
campaign_poster_shortage,posters_digital_switch,OPPORTUNISTE,557,68.36,0.544,0.418
campaign_rally_security,security_remote_address,PRUDENT,324,65.32,0.509,0.373
world_industrial_closure,closure_market_buyer,TECHNIQUE,112,87.63,1,0.813
debate_free_conclusion,free_conclusion_story,POPULAIRE,496,71.63,0.627,0.482
government_prime_minister,prime_minister_ally,RASSEMBLEUR,260,85.67,0.981,0.977
world_public_service_outage,outage_attack_government,OFFENSIF,469,69.46,0.563,0.433
program_pensions,pensions_return_62,POPULAIRE,509,76.76,0.705,0.57
