variant,partyId,profile,seedIndex,decisions,finalScore,qualified,won,firstRoundScore,eventIdSetSize,eventIdSetHash,rankVolatility,pollStdev,rareOrChainOrConflictMoments,ideologyMoveTotal,actorMemoryEntries
A_baseline,lfi,beginner,6,25,47,false,false,12.4,25,b1f5a4c1,0.4,1.63,7,11.57,5
B1_no_opportunistic_randomness,lfi,beginner,6,31,78,true,true,16.1,31,f4d3fac2,0.194,1.82,3,20.49,0
B2_no_rare_events,lfi,beginner,6,31,88,true,true,20.3,31,5647e464,0.129,1.86,3,18.89,3
C_no_narrative_memory,lfi,beginner,6,31,79,true,true,16.6,31,67548d84,0.097,1.45,2,15.47,0
E_no_ideology_effects,lfi,beginner,6,31,78,true,true,17.4,31,42da5c52,0.194,1.27,3,0,1
F_no_delayed_consequences,lfi,beginner,6,29,79,true,false,17.7,29,f4fe6c0f,0.103,1.84,4,18.49,0
A_baseline,lfi,beginner,7,31,88,true,true,19.1,31,a78e174,0.258,1.92,1,18.54,3
B1_no_opportunistic_randomness,lfi,beginner,7,31,84,true,true,17.4,31,19d0c799,0.097,2.39,2,24.46,1
B2_no_rare_events,lfi,beginner,7,31,77,true,true,15.8,31,79cae508,0.258,1.48,4,14.09,2
C_no_narrative_memory,lfi,beginner,7,31,88,true,true,20.7,31,269d78fb,0.194,1.64,0,10.97,0
E_no_ideology_effects,lfi,beginner,7,25,55,false,false,14.1,25,a0c10cc8,0.28,1.3,0,0,1
F_no_delayed_consequences,lfi,beginner,7,31,81,true,true,15.6,31,7a21cc69,0.226,1.97,0,16.05,0
A_baseline,ps,strategist,0,31,91,true,true,16.7,31,f9bbc051,0.29,1.93,2,13.15,3
B1_no_opportunistic_randomness,ps,strategist,0,31,89,true,true,16.6,31,c3a3343c,0.161,1.48,0,14.81,0
B2_no_rare_events,ps,strategist,0,31,88,true,true,15.4,31,568a0169,0.065,1.62,0,2.31,0
C_no_narrative_memory,ps,strategist,0,31,87,true,true,16.4,31,2c6149d0,0.194,1.27,5,20.81,0
E_no_ideology_effects,ps,strategist,0,31,86,true,true,16.4,31,a3471712,0.452,1.52,0,0,0
F_no_delayed_consequences,ps,strategist,0,31,91,true,true,16.3,31,bab4e5e6,0.129,1.75,3,27.34,3
