runKey,decisionIndex,kind,partyId,maxShockPoints,crossesActiveSetBoundary
lfi:opportuniste_electoral:24,21,strategic_withdrawal,reconquete_dissidence_18,4.403,false
lfi:opportuniste_electoral:26,16,strategic_withdrawal,reconquete,3.625,false
lfi:opportuniste_electoral:27,15,strategic_withdrawal,reconquete,3.405,false
lfi:opportuniste_electoral:33,21,strategic_withdrawal,reconquete,2.451,false
lfi:opportuniste_electoral:35,12,strategic_withdrawal,reconquete,3.467,false
lfi:opportuniste_electoral:37,16,withdrawal,reconquete,3.677,false
lfi:opportuniste_electoral:38,21,withdrawal,reconquete,3.051,false
lfi:opportuniste_electoral:42,18,withdrawal,reconquete,3.501,false
lfi:opportuniste_electoral:43,16,withdrawal,reconquete,3.557,false
lfi:opportuniste_electoral:48,15,strategic_withdrawal,reconquete,3.74,false
lfi:opportuniste_electoral:50,19,strategic_withdrawal,reconquete,3.205,false
lfi:opportuniste_electoral:54,13,strategic_withdrawal,reconquete,3.437,false
lfi:opportuniste_electoral:56,19,strategic_withdrawal,reconquete,3.659,false
lfi:opportuniste_electoral:63,15,withdrawal,reconquete,3.36,true
lfi:opportuniste_electoral:71,14,withdrawal,reconquete,3.503,false
lfi:opportuniste_electoral:73,22,withdrawal,reconquete,3.015,false
lfi:opportuniste_electoral:75,16,strategic_withdrawal,reconquete,3.538,false
lfi:opportuniste_electoral:76,11,strategic_withdrawal,reconquete,3.37,false
lfi:opportuniste_electoral:77,21,strategic_withdrawal,reconquete,3.648,false
lfi:opportuniste_electoral:78,17,withdrawal,reconquete,3.098,false
lfi:opportuniste_electoral:80,20,withdrawal,reconquete,3.175,false
lfi:opportuniste_electoral:82,16,strategic_withdrawal,reconquete,3.797,false
lfi:opportuniste_electoral:85,19,withdrawal,reconquete,3.259,false
lfi:opportuniste_electoral:92,19,withdrawal,reconquete,3.13,false
lfi:opportuniste_electoral:97,13,withdrawal,reconquete,3.672,false
lfi:opportuniste_electoral:98,21,withdrawal,reconquete,3.223,false
lfi:opportuniste_electoral:99,15,withdrawal,reconquete,3.589,true
lfi:opportuniste_electoral:100,23,withdrawal,reconquete,38.762,true
lfi:opportuniste_electoral:103,17,withdrawal,reconquete,3.668,false
lfi:opportuniste_electoral:105,16,withdrawal,reconquete,2.478,false
lfi:opportuniste_electoral:109,15,withdrawal,reconquete,4.207,true
lfi:opportuniste_electoral:110,23,withdrawal,reconquete,35.214,true
lfi:opportuniste_electoral:111,13,strategic_withdrawal,reconquete,3.708,false
lfi:opportuniste_electoral:112,23,withdrawal,reconquete,43.26,true
lfi:opportuniste_electoral:122,18,withdrawal,reconquete,3.462,false
lfi:opportuniste_electoral:123,16,withdrawal,reconquete,3.505,false
lfi:opportuniste_electoral:126,21,withdrawal,reconquete,2.959,false
lfi:opportuniste_electoral:127,18,withdrawal,reconquete,3.114,false
lfi:opportuniste_electoral:133,13,withdrawal,reconquete,3.759,false
lfi:opportuniste_electoral:134,16,withdrawal,reconquete_dissidence_16,1.055,false
lfi:opportuniste_electoral:135,15,withdrawal,reconquete,3.638,true
lfi:opportuniste_electoral:139,20,withdrawal,reconquete,3.266,false
lfi:opportuniste_electoral:146,12,strategic_withdrawal,reconquete,3.651,false
lfi:parti_dabord:1,19,withdrawal,reconquete,3.264,false
lfi:parti_dabord:2,19,strategic_withdrawal,reconquete,3.18,false
lfi:parti_dabord:8,17,strategic_withdrawal,reconquete,3.243,false
lfi:parti_dabord:10,19,withdrawal,reconquete,3.377,false
lfi:parti_dabord:12,17,withdrawal,reconquete,3.626,false
lfi:parti_dabord:13,18,strategic_withdrawal,reconquete,3.279,false
lfi:parti_dabord:18,14,strategic_withdrawal,reconquete,3.646,false
lfi:parti_dabord:19,13,withdrawal,reconquete,3.177,false
lfi:parti_dabord:22,20,withdrawal,reconquete,3.425,false
lfi:parti_dabord:23,17,withdrawal,reconquete,3.015,false
lfi:parti_dabord:25,15,strategic_withdrawal,reconquete,3.76,true
lfi:parti_dabord:29,18,strategic_withdrawal,reconquete,3.227,false
lfi:parti_dabord:37,20,withdrawal,reconquete,3.429,false
lfi:parti_dabord:37,21,withdrawal,rn,12.378,false
lfi:parti_dabord:39,20,withdrawal,reconquete,3.179,false
lfi:parti_dabord:40,20,strategic_withdrawal,reconquete,3.008,false
lfi:parti_dabord:46,14,strategic_withdrawal,reconquete,3.41,false
lfi:parti_dabord:47,18,withdrawal,reconquete,2.885,false
lfi:parti_dabord:48,13,withdrawal,reconquete,3.579,false
lfi:parti_dabord:50,13,withdrawal,reconquete,3.777,false
lfi:parti_dabord:52,23,withdrawal,ps,36.766,true
lfi:parti_dabord:53,18,strategic_withdrawal,reconquete,3.675,false
lfi:parti_dabord:70,15,withdrawal,reconquete,4.053,true
lfi:parti_dabord:70,21,withdrawal,rn,12.382,false
lfi:parti_dabord:71,21,strategic_withdrawal,reconquete,3.294,false
lfi:parti_dabord:76,15,strategic_withdrawal,reconquete,3.442,true
lfi:parti_dabord:77,23,withdrawal,reconquete,37.357,true
lfi:parti_dabord:83,15,withdrawal,reconquete,3.966,false
lfi:parti_dabord:87,13,withdrawal,reconquete,3.578,false
lfi:parti_dabord:91,18,strategic_withdrawal,reconquete,2.88,false
lfi:parti_dabord:92,15,strategic_withdrawal,reconquete,3.41,true
lfi:parti_dabord:93,11,strategic_withdrawal,reconquete,3.848,false
lfi:parti_dabord:98,23,withdrawal,reconquete,39.234,true
lfi:parti_dabord:101,21,strategic_withdrawal,reconquete,3.099,false
lfi:parti_dabord:104,18,strategic_withdrawal,reconquete,3.496,false
lfi:parti_dabord:106,19,withdrawal,reconquete,3.582,false
lfi:parti_dabord:108,16,strategic_withdrawal,reconquete,3.563,false
lfi:parti_dabord:111,23,withdrawal,reconquete,42.886,true
lfi:parti_dabord:112,18,withdrawal,reconquete,3.75,false
lfi:parti_dabord:113,11,strategic_withdrawal,reconquete,3.634,false
lfi:parti_dabord:114,13,withdrawal,reconquete,3.548,false
lfi:parti_dabord:117,14,withdrawal,reconquete,3.46,false
lfi:parti_dabord:121,17,withdrawal,reconquete,3.377,false
lfi:parti_dabord:122,18,strategic_withdrawal,reconquete,4.162,false
lfi:parti_dabord:123,12,strategic_withdrawal,reconquete,3.462,false
lfi:parti_dabord:124,15,withdrawal,reconquete,3.917,true
lfi:parti_dabord:126,20,withdrawal,reconquete,3.18,false
lfi:parti_dabord:134,14,strategic_withdrawal,ecologistes,8.3,false
lfi:parti_dabord:134,21,strategic_withdrawal,reconquete,2.803,false
lfi:parti_dabord:139,19,strategic_withdrawal,reconquete,3.346,false
lfi:parti_dabord:142,20,strategic_withdrawal,reconquete,3.181,false
lfi:parti_dabord:144,15,withdrawal,rn,12.541,true
lfi:parti_dabord:145,20,strategic_withdrawal,reconquete,3.687,false
lfi:parti_dabord:149,17,strategic_withdrawal,reconquete,3.491,false
lfi:mediatique:0,17,withdrawal,reconquete,3.83,false
lfi:mediatique:1,18,strategic_withdrawal,ecologistes,8.729,false
lfi:mediatique:2,14,strategic_withdrawal,reconquete,4.096,false
lfi:mediatique:7,16,withdrawal,reconquete,3.74,false
lfi:mediatique:9,13,withdrawal,reconquete,3.441,false
lfi:mediatique:10,15,withdrawal,reconquete,3.828,true
lfi:mediatique:11,15,withdrawal,reconquete,3.186,true
lfi:mediatique:14,22,withdrawal,reconquete,3.628,false
lfi:mediatique:15,18,withdrawal,reconquete,3.096,false
lfi:mediatique:19,21,withdrawal,reconquete,3.786,false
lfi:mediatique:22,19,withdrawal,reconquete,3.592,false
lfi:mediatique:23,17,withdrawal,reconquete,2.909,false
lfi:mediatique:24,16,withdrawal,reconquete,3.159,false
lfi:mediatique:27,18,withdrawal,reconquete,3.695,false
lfi:mediatique:30,21,withdrawal,reconquete,3.541,false
lfi:mediatique:32,17,strategic_withdrawal,reconquete,3.605,false
lfi:mediatique:33,19,withdrawal,reconquete,3.601,false
lfi:mediatique:37,13,withdrawal,reconquete,3.792,false
lfi:mediatique:38,20,withdrawal,reconquete,2.878,false
lfi:mediatique:39,20,strategic_withdrawal,reconquete,3.576,false
lfi:mediatique:40,19,strategic_withdrawal,reconquete,3.51,false
lfi:mediatique:45,17,strategic_withdrawal,reconquete,3.648,false
lfi:mediatique:48,20,withdrawal,reconquete,3.367,false
lfi:mediatique:52,20,strategic_withdrawal,reconquete,3.129,false
lfi:mediatique:58,15,withdrawal,reconquete,3.384,true
lfi:mediatique:60,18,withdrawal,reconquete,2.833,false
lfi:mediatique:65,19,withdrawal,reconquete,3.656,false
lfi:mediatique:70,17,withdrawal,reconquete,3.594,false
lfi:mediatique:72,21,withdrawal,reconquete,3.608,false
lfi:mediatique:74,18,withdrawal,reconquete,3.206,false
lfi:mediatique:81,14,withdrawal,reconquete,3.65,false
lfi:mediatique:87,23,withdrawal,reconquete,41.99,true
lfi:mediatique:88,23,withdrawal,reconquete,35.691,true
lfi:mediatique:89,14,withdrawal,reconquete,3.866,false
lfi:mediatique:91,14,withdrawal,reconquete,4.06,false
lfi:mediatique:94,23,withdrawal,reconquete,36.437,true
lfi:mediatique:95,20,withdrawal,reconquete,3.682,false
lfi:mediatique:97,17,withdrawal,reconquete,4.081,false
lfi:mediatique:98,16,withdrawal,reconquete,3.829,false
lfi:mediatique:99,19,withdrawal,reconquete,3.688,false
lfi:mediatique:101,18,withdrawal,reconquete,3.846,false
lfi:mediatique:104,20,strategic_withdrawal,reconquete,3.741,false
lfi:mediatique:105,23,withdrawal,reconquete,35.526,true
lfi:mediatique:110,21,strategic_withdrawal,reconquete,3.827,false
lfi:mediatique:111,23,withdrawal,reconquete,37.298,true
lfi:mediatique:112,18,withdrawal,reconquete,3.231,false
lfi:mediatique:117,17,withdrawal,reconquete,3.679,false
lfi:mediatique:119,18,withdrawal,reconquete,3.756,false
lfi:mediatique:122,22,withdrawal,reconquete,3.35,false
lfi:mediatique:123,18,withdrawal,reconquete,3.317,false
lfi:mediatique:127,18,withdrawal,reconquete,3.953,false
lfi:mediatique:128,15,withdrawal,reconquete,3.762,true
lfi:mediatique:129,19,withdrawal,reconquete,2.68,false
lfi:mediatique:130,16,strategic_withdrawal,reconquete,3.056,true
lfi:mediatique:131,13,withdrawal,reconquete,3.485,false
lfi:mediatique:137,14,withdrawal,reconquete,3.848,false
lfi:mediatique:139,17,withdrawal,reconquete,3.703,false
lfi:mediatique:141,17,strategic_withdrawal,reconquete,3.466,false
lfi:mediatique:143,23,withdrawal,reconquete,37.12,true
lfi:mediatique:144,15,withdrawal,reconquete,3.617,true
lfi:mediatique:149,13,withdrawal,reconquete,3.518,false
lfi:contrarien:1,17,withdrawal,reconquete,3.647,false
lfi:contrarien:3,13,withdrawal,reconquete,3.547,false
lfi:contrarien:5,15,withdrawal,reconquete,3.905,true
lfi:contrarien:6,15,withdrawal,reconquete,3.815,true
lfi:contrarien:7,23,withdrawal,reconquete,40.7,true
lfi:contrarien:8,22,withdrawal,reconquete,3.84,false
lfi:contrarien:11,21,withdrawal,reconquete,3.385,false
lfi:contrarien:12,16,withdrawal,reconquete,3.746,false
lfi:contrarien:12,19,strategic_withdrawal,reconquete_dissidence_16,6.04,false
lfi:contrarien:13,19,withdrawal,reconquete,3.806,false
lfi:contrarien:18,17,withdrawal,reconquete,3.743,false
lfi:contrarien:22,19,strategic_withdrawal,reconquete,3.883,false
lfi:contrarien:34,13,withdrawal,reconquete,3.713,false
lfi:contrarien:39,16,withdrawal,reconquete_dissidence_15,3.11,false
lfi:contrarien:40,16,withdrawal,reconquete,3.584,false
lfi:contrarien:46,15,withdrawal,reconquete,3.784,true
lfi:contrarien:47,14,withdrawal,reconquete,3.967,false
lfi:contrarien:53,16,withdrawal,reconquete,3.823,false
lfi:contrarien:54,13,withdrawal,reconquete,3.667,false
lfi:contrarien:55,22,withdrawal,reconquete,2.77,false
lfi:contrarien:56,13,withdrawal,reconquete,2.806,false
lfi:contrarien:58,17,withdrawal,reconquete,3.338,false
lfi:contrarien:60,20,withdrawal,reconquete,3.604,false
lfi:contrarien:69,16,withdrawal,reconquete,3.724,false
lfi:contrarien:77,19,strategic_withdrawal,reconquete,3.015,false
lfi:contrarien:78,13,withdrawal,horizons,14.349,false
lfi:contrarien:78,14,withdrawal,reconquete,4.65,false
lfi:contrarien:80,13,withdrawal,reconquete,3.95,false
lfi:contrarien:83,15,withdrawal,reconquete,3.415,true
lfi:contrarien:84,14,withdrawal,reconquete,4.096,false
lfi:contrarien:85,22,withdrawal,reconquete,3.841,false
lfi:contrarien:90,22,withdrawal,reconquete,3.071,false
lfi:contrarien:92,22,withdrawal,reconquete_dissidence_22,0.965,false
lfi:contrarien:94,13,strategic_withdrawal,ecologistes,8.863,false
lfi:contrarien:97,17,withdrawal,reconquete,3.734,false
lfi:contrarien:98,15,withdrawal,reconquete,3.703,true
lfi:contrarien:101,14,withdrawal,reconquete,3.916,false
lfi:contrarien:103,16,withdrawal,reconquete,4.088,false
lfi:contrarien:109,23,withdrawal,reconquete,36.339,true
lfi:contrarien:110,15,withdrawal,reconquete,3.331,true
lfi:contrarien:111,14,withdrawal,reconquete,3.756,false
lfi:contrarien:113,23,withdrawal,lr,36.723,true
lfi:contrarien:116,18,strategic_withdrawal,reconquete,3.704,false
lfi:contrarien:122,19,withdrawal,reconquete,3.898,false
lfi:contrarien:125,14,strategic_withdrawal,reconquete,3.774,false
lfi:contrarien:129,15,withdrawal,reconquete,3.7,true
lfi:contrarien:135,18,withdrawal,reconquete,3.493,false
lfi:contrarien:141,17,withdrawal,reconquete,3.675,false
ps:aleatoire:1,19,withdrawal,reconquete,3.453,false
ps:aleatoire:2,22,withdrawal,reconquete,3.555,false
ps:aleatoire:5,13,withdrawal,reconquete,3.642,false
ps:aleatoire:5,19,withdrawal,lr,11.025,false
ps:aleatoire:8,14,withdrawal,reconquete,3.682,false
ps:aleatoire:11,17,withdrawal,reconquete,3.787,false
