runKey,decisionIndex,kind,partyId,releasedShare
lfi:mediatique:52,20,strategic_withdrawal,reconquete,3.129
lfi:mediatique:58,15,withdrawal,reconquete,3.384
lfi:mediatique:60,18,withdrawal,reconquete,2.833
lfi:mediatique:65,19,withdrawal,reconquete,3.656
lfi:mediatique:70,17,withdrawal,reconquete,3.594
lfi:mediatique:72,21,withdrawal,reconquete,3.608
lfi:mediatique:74,18,withdrawal,reconquete,3.206
lfi:mediatique:81,14,withdrawal,reconquete,3.65
lfi:mediatique:87,23,withdrawal,reconquete,2.166
lfi:mediatique:88,23,withdrawal,reconquete,3.503
lfi:mediatique:89,14,withdrawal,reconquete,3.866
lfi:mediatique:91,14,withdrawal,reconquete,4.06
lfi:mediatique:94,23,withdrawal,reconquete,3.345
lfi:mediatique:95,20,withdrawal,reconquete,3.682
lfi:mediatique:97,17,withdrawal,reconquete,4.081
lfi:mediatique:98,16,withdrawal,reconquete,3.829
lfi:mediatique:99,19,withdrawal,reconquete,3.688
lfi:mediatique:101,18,withdrawal,reconquete,3.846
lfi:mediatique:104,20,strategic_withdrawal,reconquete,3.741
lfi:mediatique:105,23,withdrawal,reconquete,3.258
lfi:mediatique:110,21,strategic_withdrawal,reconquete,3.827
lfi:mediatique:111,23,withdrawal,reconquete,3.378
lfi:mediatique:112,18,withdrawal,reconquete,3.231
lfi:mediatique:117,17,withdrawal,reconquete,3.679
lfi:mediatique:119,18,withdrawal,reconquete,3.756
lfi:mediatique:122,22,withdrawal,reconquete,3.35
lfi:mediatique:123,18,withdrawal,reconquete,3.317
lfi:mediatique:127,18,withdrawal,reconquete,3.953
lfi:mediatique:128,15,withdrawal,reconquete,3.762
lfi:mediatique:129,19,withdrawal,reconquete,2.68
lfi:mediatique:130,16,strategic_withdrawal,reconquete,3.056
lfi:mediatique:131,13,withdrawal,reconquete,3.485
lfi:mediatique:137,14,withdrawal,reconquete,3.848
lfi:mediatique:139,17,withdrawal,reconquete,3.703
lfi:mediatique:141,17,strategic_withdrawal,reconquete,3.466
lfi:mediatique:143,23,withdrawal,reconquete,3.544
lfi:mediatique:144,15,withdrawal,reconquete,3.617
lfi:mediatique:149,13,withdrawal,reconquete,3.518
lfi:contrarien:1,17,withdrawal,reconquete,3.647
lfi:contrarien:3,13,withdrawal,reconquete,3.547
lfi:contrarien:5,15,withdrawal,reconquete,3.905
lfi:contrarien:6,15,withdrawal,reconquete,3.815
lfi:contrarien:7,23,withdrawal,reconquete,3.733
lfi:contrarien:8,22,withdrawal,reconquete,3.84
lfi:contrarien:11,21,withdrawal,reconquete,3.385
lfi:contrarien:12,16,withdrawal,reconquete,3.746
lfi:contrarien:12,19,strategic_withdrawal,reconquete_dissidence_16,6.04
lfi:contrarien:13,19,withdrawal,reconquete,3.806
lfi:contrarien:18,17,withdrawal,reconquete,3.743
lfi:contrarien:22,19,strategic_withdrawal,reconquete,3.883
lfi:contrarien:34,13,withdrawal,reconquete,3.713
lfi:contrarien:39,16,withdrawal,reconquete_dissidence_15,3.11
lfi:contrarien:40,16,withdrawal,reconquete,3.584
lfi:contrarien:46,15,withdrawal,reconquete,3.784
lfi:contrarien:47,14,withdrawal,reconquete,3.967
lfi:contrarien:53,16,withdrawal,reconquete,3.823
lfi:contrarien:54,13,withdrawal,reconquete,3.667
lfi:contrarien:55,22,withdrawal,reconquete,2.77
lfi:contrarien:56,13,withdrawal,reconquete,2.806
lfi:contrarien:58,17,withdrawal,reconquete,3.338
lfi:contrarien:60,20,withdrawal,reconquete,3.604
lfi:contrarien:69,16,withdrawal,reconquete,3.724
lfi:contrarien:77,19,strategic_withdrawal,reconquete,3.015
lfi:contrarien:78,13,withdrawal,horizons,14.349
lfi:contrarien:78,14,withdrawal,reconquete,4.65
lfi:contrarien:80,13,withdrawal,reconquete,3.95
lfi:contrarien:83,15,withdrawal,reconquete,3.415
lfi:contrarien:84,14,withdrawal,reconquete,4.096
lfi:contrarien:85,22,withdrawal,reconquete,3.841
lfi:contrarien:90,22,withdrawal,reconquete,3.071
lfi:contrarien:92,22,withdrawal,reconquete_dissidence_22,0
lfi:contrarien:94,13,strategic_withdrawal,ecologistes,8.863
lfi:contrarien:97,17,withdrawal,reconquete,3.734
lfi:contrarien:98,15,withdrawal,reconquete,3.703
lfi:contrarien:101,14,withdrawal,reconquete,3.916
lfi:contrarien:103,16,withdrawal,reconquete,4.088
lfi:contrarien:109,23,withdrawal,reconquete,2.93
lfi:contrarien:110,15,withdrawal,reconquete,3.331
lfi:contrarien:111,14,withdrawal,reconquete,3.756
lfi:contrarien:113,23,withdrawal,lr,10.085
lfi:contrarien:116,18,strategic_withdrawal,reconquete,3.704
lfi:contrarien:122,19,withdrawal,reconquete,3.898
lfi:contrarien:125,14,strategic_withdrawal,reconquete,3.774
lfi:contrarien:129,15,withdrawal,reconquete,3.7
lfi:contrarien:135,18,withdrawal,reconquete,3.493
lfi:contrarien:141,17,withdrawal,reconquete,3.675
ps:aleatoire:1,19,withdrawal,reconquete,3.453
ps:aleatoire:2,22,withdrawal,reconquete,3.555
ps:aleatoire:5,13,withdrawal,reconquete,3.642
ps:aleatoire:5,19,withdrawal,lr,11.025
ps:aleatoire:8,14,withdrawal,reconquete,3.682
ps:aleatoire:11,17,withdrawal,reconquete,3.787
ps:aleatoire:14,15,strategic_withdrawal,reconquete,3.928
ps:aleatoire:16,18,withdrawal,reconquete,3.408
ps:aleatoire:17,15,withdrawal,reconquete,3.618
ps:aleatoire:18,21,withdrawal,reconquete,3.576
ps:aleatoire:23,16,strategic_withdrawal,reconquete,3.645
ps:aleatoire:27,15,strategic_withdrawal,reconquete,3.45
ps:aleatoire:27,21,withdrawal,rn,12.279
ps:aleatoire:33,17,withdrawal,reconquete,3.029
ps:aleatoire:35,23,withdrawal,reconquete,3.292
ps:aleatoire:37,20,withdrawal,reconquete,3.35
ps:aleatoire:39,22,withdrawal,reconquete,3.501
ps:aleatoire:44,20,strategic_withdrawal,reconquete,3.419
ps:aleatoire:45,18,withdrawal,reconquete,3.256
ps:aleatoire:52,11,strategic_withdrawal,reconquete,3.659
ps:aleatoire:55,13,withdrawal,reconquete,3.47
ps:aleatoire:56,19,withdrawal,reconquete,3.325
ps:aleatoire:61,14,strategic_withdrawal,reconquete,3.476
ps:aleatoire:62,18,strategic_withdrawal,reconquete,3.582
ps:aleatoire:66,15,strategic_withdrawal,reconquete,3.336
ps:aleatoire:67,18,withdrawal,reconquete,3.52
ps:aleatoire:72,19,strategic_withdrawal,reconquete,3.008
ps:aleatoire:74,15,withdrawal,reconquete,3.619
ps:aleatoire:78,13,withdrawal,reconquete,3.409
ps:aleatoire:86,21,withdrawal,reconquete,3.376
ps:aleatoire:89,23,withdrawal,reconquete,2.782
ps:aleatoire:91,22,withdrawal,reconquete,3.759
ps:aleatoire:92,20,withdrawal,reconquete,3.409
ps:aleatoire:93,18,withdrawal,reconquete,3.625
ps:aleatoire:99,12,strategic_withdrawal,reconquete,3.894
ps:aleatoire:101,13,strategic_withdrawal,reconquete,3.877
