runKey,decisionIndex,date,playerPolling,playerRank,playerTrend
lfi:risque:2,25,2027-04-18,15.09,1,0
lfi:risque:3,1,2026-04-18,11.724,4,1.12
lfi:risque:3,2,2026-05-04,11.754,4,0.03
lfi:risque:3,3,2026-05-17,11.571,4,-0.18
lfi:risque:3,4,2026-05-31,11.5,5,-0.07
lfi:risque:3,5,2026-06-16,11.75,4,0.25
lfi:risque:3,6,2026-07-02,12.054,3,0.3
lfi:risque:3,7,2026-07-15,12.391,2,0.34
lfi:risque:3,8,2026-07-31,10.4,7,-1.99
lfi:risque:3,9,2026-08-15,12.988,1,2.59
lfi:risque:3,10,2026-08-28,13.314,1,0.33
lfi:risque:3,11,2026-09-11,13.624,1,0.31
lfi:risque:3,12,2026-09-27,12.9,1,-0.72
lfi:risque:3,13,2026-10-11,13.715,1,0.81
lfi:risque:3,14,2026-10-30,13.582,1,-0.13
lfi:risque:3,15,2026-11-16,13.649,1,0.07
lfi:risque:3,16,2026-12-01,16.5,1,2.85
lfi:risque:3,17,2026-12-19,13.546,1,-2.95
lfi:risque:3,18,2027-01-05,13.816,1,0.27
lfi:risque:3,19,2027-01-25,13.962,1,0.15
lfi:risque:3,20,2027-02-13,12.4,2,-1.56
lfi:risque:3,21,2027-03-03,14.304,1,1.9
lfi:risque:3,22,2027-03-17,14.442,1,0.14
lfi:risque:3,23,2027-04-02,14.667,1,0.22
lfi:risque:3,24,2027-04-17,14.898,1,0.23
lfi:risque:3,25,2027-04-18,14.83,1,-0.07
lfi:risque:3,26,2027-04-20,14.734,1,-0.1
lfi:risque:3,27,2027-04-22,14.964,1,0.23
lfi:risque:3,28,2027-04-24,19.7,1,4.74
lfi:risque:3,29,2027-04-26,15.213,1,-4.49
lfi:risque:3,30,2027-05-02,15.145,1,-0.07
lfi:risque:3,31,2027-05-03,15.063,1,-0.08
lfi:ideologiquement_coherent:0,1,2026-04-18,11.614,5,-2.09
lfi:ideologiquement_coherent:0,2,2026-05-02,11.602,5,-0.01
lfi:ideologiquement_coherent:0,3,2026-05-16,11.887,3,0.29
lfi:ideologiquement_coherent:0,4,2026-06-03,11.9,3,0.01
lfi:ideologiquement_coherent:0,5,2026-06-15,12.377,2,0.48
lfi:ideologiquement_coherent:0,6,2026-07-01,12.676,2,0.3
lfi:ideologiquement_coherent:0,7,2026-07-14,12.936,1,0.26
lfi:ideologiquement_coherent:0,8,2026-07-27,16.7,1,3.76
lfi:ideologiquement_coherent:0,9,2026-08-11,13.457,1,-3.24
lfi:ideologiquement_coherent:0,10,2026-08-24,13.934,1,0.48
lfi:ideologiquement_coherent:0,11,2026-09-06,14.096,1,0.16
lfi:ideologiquement_coherent:0,12,2026-09-24,16.3,1,2.2
lfi:ideologiquement_coherent:0,13,2026-10-12,14.611,1,-1.69
lfi:ideologiquement_coherent:0,14,2026-10-27,14.891,1,0.28
lfi:ideologiquement_coherent:0,15,2026-11-11,15.054,1,0.16
lfi:ideologiquement_coherent:0,16,2026-11-25,18.8,1,3.75
lfi:ideologiquement_coherent:0,17,2026-12-11,15.256,1,-3.54
lfi:ideologiquement_coherent:0,18,2027-01-01,15.562,1,0.31
lfi:ideologiquement_coherent:0,19,2027-01-17,15.762,1,0.2
lfi:ideologiquement_coherent:0,20,2027-02-02,16.8,1,1.04
lfi:ideologiquement_coherent:0,21,2027-02-23,16.05,1,-0.75
lfi:ideologiquement_coherent:0,22,2027-03-16,16.126,1,0.08
lfi:ideologiquement_coherent:0,23,2027-03-31,16.31,1,0.18
lfi:ideologiquement_coherent:0,24,2027-04-17,16.482,1,0.17
lfi:ideologiquement_coherent:0,25,2027-04-18,16.55,1,0.07
lfi:ideologiquement_coherent:0,26,2027-04-20,16.674,1,0.12
lfi:ideologiquement_coherent:0,27,2027-04-22,16.703,1,0.03
lfi:ideologiquement_coherent:0,28,2027-04-24,14.4,1,-2.3
lfi:ideologiquement_coherent:0,29,2027-04-26,16.887,1,2.49
lfi:ideologiquement_coherent:0,30,2027-05-02,16.771,1,-0.12
lfi:ideologiquement_coherent:0,31,2027-05-03,16.723,1,-0.05
lfi:ideologiquement_coherent:1,1,2026-04-18,11.817,4,2.32
lfi:ideologiquement_coherent:1,2,2026-04-30,11.982,3,0.16
lfi:ideologiquement_coherent:1,3,2026-05-18,12.226,3,0.24
lfi:ideologiquement_coherent:1,4,2026-06-03,12.9,2,0.67
lfi:ideologiquement_coherent:1,5,2026-06-20,12.315,3,-0.59
lfi:ideologiquement_coherent:1,6,2026-07-02,12.311,3,0
lfi:ideologiquement_coherent:1,7,2026-07-18,12.579,2,0.27
lfi:ideologiquement_coherent:1,8,2026-08-03,13.7,1,1.12
lfi:ideologiquement_coherent:1,9,2026-08-16,12.994,1,-0.71
lfi:ideologiquement_coherent:1,10,2026-08-30,13.239,1,0.25
lfi:ideologiquement_coherent:1,11,2026-09-13,13.448,1,0.21
lfi:ideologiquement_coherent:1,12,2026-09-29,10.9,5,-2.55
lfi:ideologiquement_coherent:1,13,2026-10-13,13.776,1,2.88
lfi:ideologiquement_coherent:1,14,2026-11-02,14.021,1,0.25
lfi:ideologiquement_coherent:1,15,2026-11-20,14.082,1,0.06
lfi:ideologiquement_coherent:1,16,2026-12-07,11.6,3,-2.48
lfi:ideologiquement_coherent:1,17,2026-12-20,14.416,1,2.82
lfi:ideologiquement_coherent:1,18,2027-01-08,14.637,1,0.22
lfi:ideologiquement_coherent:1,19,2027-01-26,14.64,1,0
lfi:ideologiquement_coherent:1,20,2027-02-12,11.5,3,-3.14
lfi:ideologiquement_coherent:1,21,2027-03-02,14.905,1,3.4
lfi:ideologiquement_coherent:1,22,2027-03-15,14.951,1,0.05
lfi:ideologiquement_coherent:1,23,2027-03-30,15.151,1,0.2
lfi:ideologiquement_coherent:1,24,2027-04-17,15.255,1,0.1
lfi:ideologiquement_coherent:1,25,2027-04-18,15.317,1,0.06
lfi:ideologiquement_coherent:1,26,2027-04-20,15.525,1,0.21
lfi:ideologiquement_coherent:1,27,2027-04-22,15.66,1,0.13
lfi:ideologiquement_coherent:1,28,2027-04-24,17,1,1.34
lfi:ideologiquement_coherent:1,29,2027-04-26,15.711,1,-1.29
lfi:ideologiquement_coherent:1,30,2027-05-02,15.59,1,-0.12
lfi:ideologiquement_coherent:1,31,2027-05-03,15.606,1,0.02
lfi:ideologiquement_coherent:2,1,2026-04-18,11.63,5,2.73
lfi:ideologiquement_coherent:2,2,2026-05-03,11.767,4,0.14
lfi:ideologiquement_coherent:2,3,2026-05-16,11.877,3,0.11
lfi:ideologiquement_coherent:2,4,2026-06-01,12.2,3,0.32
lfi:ideologiquement_coherent:2,5,2026-06-20,12.421,2,0.22
lfi:ideologiquement_coherent:2,6,2026-07-06,12.617,2,0.2
lfi:ideologiquement_coherent:2,7,2026-07-23,12.716,1,0.1
lfi:ideologiquement_coherent:2,8,2026-08-08,12.4,2,-0.32
lfi:ideologiquement_coherent:2,9,2026-08-23,13.206,1,0.81
lfi:ideologiquement_coherent:2,10,2026-09-09,13.282,1,0.08
lfi:ideologiquement_coherent:2,11,2026-09-25,13.429,1,0.15
lfi:ideologiquement_coherent:2,12,2026-10-07,13.1,1,-0.33
lfi:ideologiquement_coherent:2,13,2026-10-20,13.678,1,0.58
lfi:ideologiquement_coherent:2,14,2026-11-06,13.732,1,0.05
lfi:ideologiquement_coherent:2,15,2026-11-25,13.838,1,0.11
lfi:ideologiquement_coherent:2,16,2026-12-13,14.8,1,0.96
lfi:ideologiquement_coherent:2,17,2026-12-29,14.182,1,-0.62
lfi:ideologiquement_coherent:2,18,2027-01-16,14.561,1,0.38
lfi:ideologiquement_coherent:2,19,2027-02-01,14.863,1,0.3
lfi:ideologiquement_coherent:2,20,2027-02-18,13.5,1,-1.36
lfi:ideologiquement_coherent:2,21,2027-03-02,15.355,1,1.86
lfi:ideologiquement_coherent:2,22,2027-03-18,15.547,1,0.19
lfi:ideologiquement_coherent:2,23,2027-04-05,15.008,1,-0.54
lfi:ideologiquement_coherent:2,24,2027-04-17,14.776,1,-0.23
lfi:ideologiquement_coherent:2,25,2027-04-18,14.929,1,0.15
lfi:ideologiquement_coherent:2,26,2027-04-20,15.134,1,0.21
lfi:ideologiquement_coherent:2,27,2027-04-22,15.296,1,0.16
lfi:ideologiquement_coherent:2,28,2027-04-24,14.1,1,-1.2
lfi:ideologiquement_coherent:2,29,2027-04-26,15.765,1,1.67
