runKey,decisionIndex,playerPolling,playerRank
lfi:aleatoire:3,21,14.479,1
lfi:aleatoire:3,22,14.554,1
lfi:aleatoire:3,23,14.694,1
lfi:aleatoire:3,24,14.863,1
lfi:aleatoire:3,25,14.998,1
lfi:aleatoire:3,26,14.976,1
lfi:aleatoire:3,27,15.014,1
lfi:aleatoire:3,28,19.7,1
lfi:aleatoire:3,29,15.252,1
lfi:mediatique:0,1,11.614,5
lfi:mediatique:0,2,11.778,4
lfi:mediatique:0,3,11.755,4
lfi:mediatique:0,4,11.7,5
lfi:mediatique:0,5,11.063,6
lfi:mediatique:0,6,11.021,6
lfi:mediatique:0,7,10.992,6
lfi:mediatique:0,8,15.1,1
lfi:mediatique:0,9,11.437,6
lfi:mediatique:0,10,11.844,4
lfi:mediatique:0,11,12.037,3
lfi:mediatique:0,12,14,1
lfi:mediatique:0,13,12.403,2
lfi:mediatique:0,14,12.649,2
lfi:mediatique:0,15,12.557,2
lfi:mediatique:0,16,16.2,1
lfi:mediatique:0,17,12.68,2
lfi:mediatique:0,18,12.842,2
lfi:mediatique:0,19,13.081,1
lfi:mediatique:0,20,14.1,1
lfi:mediatique:0,21,13.014,2
lfi:mediatique:0,22,13.213,1
lfi:mediatique:0,23,13.327,1
lfi:mediatique:0,24,13.384,1
lfi:mediatique:0,25,13.397,1
lfi:mediatique:1,1,12.028,3
lfi:mediatique:1,2,12.182,3
lfi:mediatique:1,3,12.295,3
lfi:mediatique:1,4,12.9,2
lfi:mediatique:1,5,12.325,3
lfi:mediatique:1,6,12.348,3
lfi:mediatique:1,7,12.439,3
lfi:mediatique:1,8,13.6,1
lfi:mediatique:1,9,12.524,2
lfi:mediatique:1,10,12.432,3
lfi:mediatique:1,11,12.386,3
lfi:mediatique:1,12,9.6,8
lfi:mediatique:1,13,12.126,3
lfi:mediatique:1,14,11.209,5
lfi:mediatique:1,15,11.018,7
lfi:mediatique:1,16,8.8,8
lfi:mediatique:1,17,10.819,7
lfi:mediatique:1,18,10.907,6
lfi:mediatique:1,19,10.98,6
lfi:mediatique:1,20,7.2,8
lfi:mediatique:1,21,10.309,8
lfi:mediatique:1,22,10.371,8
lfi:mediatique:1,23,10.269,8
lfi:mediatique:1,24,10.05,8
lfi:mediatique:1,25,10.049,8
lfi:parti_dabord:2,1,11.821,3
lfi:parti_dabord:2,2,12.024,3
lfi:parti_dabord:2,3,12.155,3
lfi:parti_dabord:2,4,12.4,2
lfi:parti_dabord:2,5,12.736,2
lfi:parti_dabord:2,6,12.887,1
lfi:parti_dabord:2,7,12.838,1
lfi:parti_dabord:2,8,12.6,2
lfi:parti_dabord:2,9,13.376,1
lfi:parti_dabord:2,10,13.428,1
lfi:parti_dabord:2,11,13.545,1
lfi:parti_dabord:2,12,10,8
lfi:parti_dabord:2,13,13.967,1
lfi:parti_dabord:2,14,14.07,1
lfi:parti_dabord:2,15,14.192,1
lfi:parti_dabord:2,16,14.1,1
lfi:parti_dabord:2,17,14.205,1
lfi:parti_dabord:2,18,14.346,1
lfi:parti_dabord:2,19,14.393,1
lfi:parti_dabord:2,20,12.8,2
lfi:parti_dabord:2,21,14.735,1
lfi:parti_dabord:2,22,14.901,1
lfi:parti_dabord:2,23,15.1,1
lfi:parti_dabord:2,24,15.224,1
lfi:parti_dabord:2,25,15.254,1
lfi:parti_dabord:2,26,15.368,1
lfi:parti_dabord:2,27,15.455,1
lfi:parti_dabord:2,28,13.8,1
lfi:parti_dabord:2,29,15.071,1
lfi:parti_dabord:3,1,11.631,4
lfi:parti_dabord:3,2,11.704,4
lfi:parti_dabord:3,3,11.859,3
lfi:parti_dabord:3,4,11.8,3
lfi:parti_dabord:3,5,12.19,3
lfi:parti_dabord:3,6,12.477,2
lfi:parti_dabord:3,7,12.594,2
lfi:parti_dabord:3,8,10.5,7
lfi:parti_dabord:3,9,13.063,1
lfi:parti_dabord:3,10,13.246,1
lfi:parti_dabord:3,11,13.36,1
lfi:parti_dabord:3,12,12.8,2
lfi:parti_dabord:3,13,13.653,1
lfi:parti_dabord:3,14,13.998,1
lfi:parti_dabord:3,15,14.176,1
lfi:parti_dabord:3,16,15,1
lfi:parti_dabord:3,17,14.131,1
lfi:parti_dabord:3,18,14.38,1
lfi:parti_dabord:3,19,14.749,1
lfi:parti_dabord:3,20,12.3,2
lfi:parti_dabord:3,21,14.554,1
lfi:parti_dabord:3,22,14.745,1
lfi:parti_dabord:3,23,14.943,1
lfi:parti_dabord:3,24,15.157,1
lfi:parti_dabord:3,25,15.283,1
lfi:parti_dabord:3,26,15.32,1
lfi:parti_dabord:3,27,15.297,1
lfi:parti_dabord:3,28,20,1
lfi:parti_dabord:3,29,15.622,1
lfi:prudent:0,1,11.83,3
lfi:prudent:0,2,12.068,3
lfi:prudent:0,3,12.436,2
lfi:prudent:0,4,12.3,2
lfi:prudent:0,5,12.959,1
lfi:prudent:0,6,13.169,1
lfi:prudent:0,7,13.398,1
lfi:prudent:0,8,16.5,1
lfi:prudent:0,9,12.861,1
lfi:prudent:0,10,13.259,1
lfi:prudent:0,11,13.394,1
lfi:prudent:0,12,15.5,1
lfi:prudent:0,13,13.565,1
lfi:prudent:0,14,13.624,1
lfi:prudent:0,15,13.728,1
lfi:prudent:0,16,17.5,1
lfi:prudent:0,17,13.916,1
lfi:prudent:0,18,14.162,1
lfi:prudent:0,19,14.416,1
lfi:prudent:0,20,15.4,1
lfi:prudent:0,21,14.691,1
lfi:prudent:0,22,14.671,1
lfi:prudent:0,23,14.827,1
lfi:prudent:0,24,14.943,1
lfi:prudent:0,25,15.034,1
lfi:prudent:0,26,15.242,1
lfi:prudent:0,27,15.386,1
lfi:prudent:0,28,13,1
lfi:prudent:0,29,15.504,1
lfi:prudent:0,30,15.289,1
lfi:prudent:0,31,15.221,1
lfi:prudent:1,1,12.028,3
lfi:prudent:1,2,12.347,3
lfi:prudent:1,3,12.648,2
