margin_d0,margin_d0.25,margin_d0.4,margin_d0.5,margin_d0.62,margin_d0.75,margin_d1,runKey,agent,finalistLeft,finalistRight,r1ScoreLeft,r1ScoreRight,r1Margin,r2ScoreLeft,r2ScoreRight,r2Margin,r2Winner,favoriteAtR1,favoriteWonR2,playerIsFinalist,playerWon,turnout,detLeftAt62,detRightAt62,detMarginAt62,detMarginAt100,detMarginAt0,retainedShareLeft,retainedShareRight,transferredShareLeft,transferredShareRight,dampingContributionToMargin
9.18,11.86,13.46,14.54,15.82,17.2,19.88,ecologistes:parti_dabord:22,parti_dabord,ecologistes,rn,21.1,14.4,6.7,55.4,44.6,10.8,ecologistes,ecologistes,true,true,true,72,57.91,42.09,15.82,19.88,9.18,60.4,39.6,22.93,18.05,4.06
6.48,5.3,4.58,4.12,3.56,2.94,1.76,ecologistes:parti_dabord:23,parti_dabord,ecologistes,ps,18.1,13.9,4.2,53.7,46.3,7.4,ecologistes,ecologistes,true,true,true,70.9,51.78,48.22,3.56,1.76,6.48,57.7,42.3,19.13,21.15,-1.8
8.88,10.32,11.18,11.76,12.46,13.2,14.66,ecologistes:parti_dabord:24,parti_dabord,ecologistes,lfi,19.7,13.3,6.4,58.9,41.1,17.8,ecologistes,ecologistes,true,true,true,71.5,56.23,43.77,12.46,14.66,8.88,60.3,39.7,21.25,18.73,2.2
10.02,10.78,11.24,11.54,11.92,12.3,13.08,ecologistes:parti_dabord:25,parti_dabord,ecologistes,renaissance,21.2,13.9,7.3,49.5,50.5,1,renaissance,ecologistes,false,true,false,71.9,55.96,44.04,11.92,13.08,10.02,61.8,38.2,22.5,21.06,1.16
3.26,5.1,6.2,6.94,7.82,8.78,10.62,ecologistes:parti_dabord:26,parti_dabord,ecologistes,lfi,16,13.9,2.1,48,52,4,lfi,ecologistes,false,true,false,71,53.91,46.09,7.82,10.62,3.26,54,46,21.95,18.83,2.8
5,5.58,5.92,6.16,6.44,6.74,7.32,ecologistes:parti_dabord:27,parti_dabord,ecologistes,horizons,18.4,14.9,3.5,49,51,2,horizons,ecologistes,false,true,false,71.9,53.22,46.78,6.44,7.32,5,56.4,43.6,24.1,22.98,0.88
5.62,4.62,4.02,3.62,3.12,2.6,1.6,ecologistes:parti_dabord:28,parti_dabord,ecologistes,nouvelle_energie,18.3,14,4.3,45.9,54.1,8.2,nouvelle_energie,ecologistes,false,true,false,72.6,51.56,48.44,3.12,1.6,5.62,57.7,42.3,24.4,26.41,-1.52
3.42,3.96,4.28,4.48,4.74,5,5.54,ecologistes:parti_dabord:29,parti_dabord,ecologistes,ps,18.7,16.9,1.8,48.4,51.6,3.2,ps,ecologistes,false,true,false,71,52.37,47.63,4.74,5.54,3.42,53.7,46.3,19.1,18.19,0.8
7,7.22,7.36,7.46,7.56,7.68,7.9,ecologistes:parti_dabord:30,parti_dabord,ecologistes,horizons,20.1,15,5.1,51.6,48.4,3.2,ecologistes,ecologistes,true,true,true,72.5,53.78,46.22,7.56,7.9,7,58.6,41.4,23.78,23.34,0.34
9.82,9.8,9.78,9.76,9.74,9.74,9.7,ecologistes:parti_dabord:31,parti_dabord,ecologistes,ps,21.7,14.9,6.8,56.5,43.5,13,ecologistes,ecologistes,true,true,true,71.2,54.87,45.13,9.74,9.7,9.82,60.4,39.6,18.54,18.59,-0.04
6.1,5.48,5.12,4.88,4.58,4.28,3.66,ecologistes:parti_dabord:32,parti_dabord,ecologistes,nouvelle_energie,18.6,13.9,4.7,48.3,51.7,3.4,nouvelle_energie,ecologistes,false,true,false,72.3,52.29,47.71,4.58,3.66,6.1,58,42,23.74,24.92,-0.92
12,15.26,17.22,18.52,20.1,21.78,25.04,ecologistes:parti_dabord:33,parti_dabord,ecologistes,rn,22.9,13.9,9,59.9,40.1,19.8,ecologistes,ecologistes,true,true,true,72,60.05,39.95,20.1,25.04,12,63.2,36.8,23.21,17.21,4.94
1.2,4.98,7.26,8.78,10.6,12.58,16.36,ecologistes:parti_dabord:34,parti_dabord,ecologistes,rn,15.9,15.6,0.3,50.4,49.6,0.8,ecologistes,ecologistes,true,true,true,72,55.3,44.7,10.6,16.36,1.2,51.5,48.5,25.98,19.04,5.76
10.8,13.98,15.9,17.18,18.72,20.38,23.58,ecologistes:parti_dabord:35,parti_dabord,ecologistes,rn,23.1,15,8.1,61.8,38.2,23.6,ecologistes,ecologistes,true,true,true,72.3,59.36,40.64,18.72,23.58,10.8,61.6,38.4,23.08,17.11,4.86
4.86,7.58,9.2,10.28,11.6,13,15.72,ecologistes:parti_dabord:36,parti_dabord,ecologistes,rn,16.1,12.8,3.3,53.8,46.2,7.6,ecologistes,ecologistes,true,true,true,71.5,55.8,44.2,11.6,15.72,4.86,56.6,43.4,24.9,20.09,4.12
7.64,7.72,7.78,7.8,7.86,7.9,7.98,ecologistes:parti_dabord:37,parti_dabord,ecologistes,ps,21.1,16.1,5,49.6,50.4,0.8,ps,ecologistes,false,true,false,71.2,53.93,46.07,7.86,7.98,7.64,57.9,42.1,18.21,18.05,0.12
2.42,2.48,2.52,2.54,2.58,2.6,2.68,ecologistes:parti_dabord:38,parti_dabord,ps,ecologistes,17,14.5,2.5,50.2,49.8,0.4,ps,ps,true,true,false,70.8,51.29,48.71,2.58,2.68,2.42,52.9,47.1,19.68,19.57,0.1
11.68,12.72,13.34,13.76,14.26,14.8,15.82,ecologistes:parti_dabord:39,parti_dabord,ecologistes,horizons,22.1,12.7,9.4,51.7,48.3,3.4,ecologistes,ecologistes,true,true,true,72.5,57.13,42.87,14.26,15.82,11.68,64.6,35.4,24.87,22.82,1.56
7.74,7.3,7.04,6.86,6.64,6.4,5.96,ecologistes:parti_dabord:40,parti_dabord,ecologistes,ps,18.9,13.8,5.1,51.2,48.8,2.4,ecologistes,ecologistes,true,true,true,70.9,53.32,46.68,6.64,5.96,7.74,58.9,41.1,19.01,19.77,-0.68
10.18,10.38,10.5,10.58,10.68,10.78,10.98,ecologistes:parti_dabord:41,parti_dabord,ecologistes,horizons,20,12.1,7.9,49.2,50.8,1.6,horizons,ecologistes,false,true,false,72.1,55.34,44.66,10.68,10.98,10.18,63.5,36.5,24.47,24.08,0.3
7.24,7.88,8.28,8.54,8.84,9.18,9.82,ecologistes:parti_dabord:42,parti_dabord,ecologistes,ps,20.3,15.4,4.9,53.7,46.3,7.4,ecologistes,ecologistes,true,true,true,71,54.42,45.58,8.84,9.82,7.24,57.8,42.2,19.1,17.99,0.98
6.58,5.78,5.28,4.96,4.58,4.16,3.36,ecologistes:parti_dabord:43,parti_dabord,ecologistes,horizons,18.5,13.7,4.8,47.2,52.8,5.6,horizons,ecologistes,false,true,false,72.1,52.29,47.71,4.58,3.36,6.58,58.7,41.3,23.23,24.77,-1.22
1.98,1.5,1.2,1,0.78,0.52,0.04,ecologistes:parti_dabord:44,parti_dabord,ecologistes,nouvelle_energie,14.8,13.6,1.2,47.5,52.5,5,nouvelle_energie,ecologistes,false,true,false,72.4,50.39,49.61,0.78,0.04,1.98,53,47,25.95,26.9,-0.74
8.5,8.98,9.26,9.46,9.7,9.94,10.42,ecologistes:parti_dabord:45,parti_dabord,ecologistes,horizons,22.2,15.7,6.5,51.4,48.6,2.8,ecologistes,ecologistes,true,true,true,72.4,54.85,45.15,9.7,10.42,8.5,59.8,40.2,23.02,22.07,0.72
8.56,8.18,7.94,7.78,7.6,7.4,7,ecologistes:parti_dabord:46,parti_dabord,ecologistes,horizons,21.8,15.2,6.6,51.4,48.6,2.8,ecologistes,ecologistes,true,true,true,72.4,53.8,46.2,7.6,7,8.56,60.1,39.9,22.38,23.15,-0.6
11.66,15.1,17.18,18.56,20.22,22.02,25.46,ecologistes:parti_dabord:47,parti_dabord,ecologistes,rn,21.6,13,8.6,54.9,45.1,9.8,ecologistes,ecologistes,true,true,true,71.8,60.11,39.89,20.22,25.46,11.66,63.4,36.6,23.81,17.55,5.24
1.92,4.48,6,7.04,8.26,9.58,12.14,ecologistes:parti_dabord:48,parti_dabord,ecologistes,rn,16,15.1,0.9,53.2,46.8,6.4,ecologistes,ecologistes,true,true,true,71.4,54.13,45.87,8.26,12.14,1.92,52.4,47.6,23.47,18.99,3.88
9.9,13.44,15.56,16.98,18.68,20.52,24.06,ecologistes:parti_dabord:49,parti_dabord,ecologistes,rn,20.5,13.2,7.3,62.9,37.1,25.8,ecologistes,ecologistes,true,true,true,71.8,59.34,40.66,18.68,24.06,9.9,61.7,38.3,24.25,17.84,5.38
6.84,7.08,7.2,7.3,7.4,7.52,7.74,ecologistes:parti_dabord:50,parti_dabord,ecologistes,ps,19.2,14.8,4.4,51.1,48.9,2.2,ecologistes,ecologistes,true,true,true,71,53.7,46.3,7.4,7.74,6.84,57.6,42.4,19.15,18.77,0.34
6.92,6.48,6.22,6.06,5.86,5.62,5.2,ecologistes:parti_dabord:51,parti_dabord,ecologistes,ps,18.3,13.6,4.7,50.1,49.9,0.2,ecologistes,ecologistes,true,true,true,70.7,52.93,47.07,5.86,5.2,6.92,58.2,41.8,19.49,20.22,-0.66
13.56,14.64,15.3,15.74,16.26,16.82,17.92,ecologistes:parti_dabord:52,parti_dabord,ecologistes,nouvelle_energie,25.8,14.3,11.5,53.9,46.1,7.8,ecologistes,ecologistes,true,true,true,72.8,58.13,41.87,16.26,17.92,13.56,65.1,34.9,23.72,21.5,1.66
5.14,8.44,10.44,11.76,13.34,15.06,18.36,ecologistes:parti_dabord:54,parti_dabord,ecologistes,rn,18.8,15.4,3.4,54.8,45.2,9.6,ecologistes,ecologistes,true,true,true,71.8,56.67,43.33,13.34,18.36,5.14,56,44,23.87,17.89,5.02
2.58,2.26,2.08,1.94,1.8,1.64,1.32,ecologistes:parti_dabord:55,parti_dabord,ecologistes,ps,16.8,15.7,1.1,54.4,45.6,8.8,ecologistes,ecologistes,true,true,true,70.9,50.9,49.1,1.8,1.32,2.58,53,47,19.21,19.74,-0.48
4.66,5.02,5.22,5.38,5.54,5.74,6.1,ecologistes:parti_dabord:56,parti_dabord,ecologistes,horizons,18.2,14.9,3.3,52.4,47.6,4.8,ecologistes,ecologistes,true,true,true,72.3,52.77,47.23,5.54,6.1,4.66,56.1,43.9,24.6,23.9,0.56
12.06,15.5,17.56,18.92,20.58,22.36,25.8,ecologistes:parti_dabord:57,parti_dabord,ecologistes,rn,24.7,15.6,9.1,62.3,37.7,24.6,ecologistes,ecologistes,true,true,true,72.2,60.29,39.71,20.58,25.8,12.06,62.2,37.8,22.25,15.84,5.22
11.18,14.44,16.38,17.68,19.24,20.94,24.18,ecologistes:parti_dabord:58,parti_dabord,ecologistes,rn,21.6,13.3,8.3,57.4,42.6,14.8,ecologistes,ecologistes,true,true,true,71.9,59.62,40.38,19.24,24.18,11.18,62.9,37.1,23.77,17.83,4.94
5.22,4.64,4.3,4.06,3.78,3.48,2.88,ecologistes:parti_dabord:59,parti_dabord,ecologistes,ps,16.9,13.7,3.2,52,48,4,ecologistes,ecologistes,true,true,true,71,51.89,48.11,3.78,2.88,5.22,56.5,43.5,20.09,21.09,-0.9
2.96,6.34,8.38,9.74,11.36,13.14,16.52,ecologistes:parti_dabord:60,parti_dabord,ecologistes,rn,15.9,14.2,1.7,49.8,50.2,0.4,rn,ecologistes,false,true,false,71.6,55.68,44.32,11.36,16.52,2.96,53.8,46.2,24.96,18.96,5.16
3.82,3.86,3.9,3.9,3.92,3.96,4,ecologistes:parti_dabord:61,parti_dabord,ecologistes,ps,16.8,14.6,2.2,46.6,53.4,6.8,ps,ecologistes,false,true,false,70.9,51.96,48.04,3.92,4,3.82,54.5,45.5,19.72,19.65,0.08
8.54,7.74,7.26,6.94,6.56,6.14,5.34,ecologistes:parti_dabord:62,parti_dabord,ecologistes,renaissance,18.3,12.1,6.2,51.6,48.4,3.2,ecologistes,ecologistes,true,true,true,71.5,53.28,46.72,6.56,5.34,8.54,61.4,38.6,22.5,23.97,-1.22
3.52,2.56,2,1.62,1.16,0.68,0.28,ecologistes:parti_dabord:63,parti_dabord,ecologistes,nouvelle_energie,16.4,13.9,2.5,47.2,52.8,5.6,nouvelle_energie,ecologistes,false,true,false,72.6,50.58,49.42,1.16,0.28,3.52,55.1,44.9,25.52,27.41,-0.88
0.4,0.36,0.34,0.32,0.3,0.28,0.24,ecologistes:parti_dabord:64,parti_dabord,ps,ecologistes,16.6,16.2,0.4,54,46,8,ps,ps,true,true,false,70.9,49.85,50.15,0.3,0.24,0.4,49.5,50.5,19.87,19.81,-0.06
5.82,8.7,10.44,11.6,12.98,14.48,17.36,ecologistes:parti_dabord:65,parti_dabord,ecologistes,rn,18,14.1,3.9,50.8,49.2,1.6,ecologistes,ecologistes,true,true,true,71.9,56.49,43.51,12.98,17.36,5.82,57.3,42.7,24.68,19.42,4.38
8.48,8.52,8.54,8.54,8.56,8.58,8.62,ecologistes:parti_dabord:66,parti_dabord,ecologistes,ps,20.7,15,5.7,48.1,51.9,3.8,ps,ecologistes,false,true,false,71.2,54.28,45.72,8.56,8.62,8.48,59.2,40.8,18.89,18.83,0.06
11.3,11.68,11.9,12.04,12.22,12.42,12.78,ecologistes:parti_dabord:67,parti_dabord,ecologistes,ps,21.8,14,7.8,58.4,41.6,16.8,ecologistes,ecologistes,true,true,true,71,56.11,43.89,12.22,12.78,11.3,62,38,18.6,17.96,0.56
6.06,9.36,11.34,12.66,14.24,15.96,19.26,ecologistes:parti_dabord:68,parti_dabord,ecologistes,rn,19.7,15.6,4.1,55.4,44.6,10.8,ecologistes,ecologistes,true,true,true,71.7,57.12,42.88,14.24,19.26,6.06,56.9,43.1,23.35,17.38,5.02
11.5,11.32,11.2,11.12,11.02,10.92,10.72,ecologistes:parti_dabord:69,parti_dabord,ecologistes,ps,21.5,13.5,8,49.1,50.9,1.8,ps,ecologistes,false,true,false,71.1,55.51,44.49,11.02,10.72,11.5,62.6,37.4,18.95,19.28,-0.3
6.96,7.32,7.54,7.68,7.86,8.04,8.4,ecologistes:parti_dabord:70,parti_dabord,ecologistes,renaissance,20,14.9,5.1,56.6,43.4,13.2,ecologistes,ecologistes,true,true,true,72.3,53.93,46.07,7.86,8.4,6.96,58.5,41.5,23.5,22.8,0.54
10.4,13.94,16.08,17.48,19.18,21.02,24.58,ecologistes:parti_dabord:71,parti_dabord,ecologistes,rn,22.2,14.6,7.6,59,41,18,ecologistes,ecologistes,true,true,true,72,59.59,40.41,19.18,24.58,10.4,61.4,38.6,23.39,16.89,5.4
1.22,1.3,1.36,1.4,1.44,1.48,1.58,ecologistes:parti_dabord:72,parti_dabord,ecologistes,ps,16.1,15.9,0.2,48.3,51.7,3.4,ps,ecologistes,false,true,false,71,50.72,49.28,1.44,1.58,1.22,51.4,48.6,19.73,19.57,0.14
1.18,1.56,1.8,1.96,2.14,2.36,2.74,ecologistes:parti_dabord:73,parti_dabord,ps,ecologistes,19.3,17.5,1.8,47.8,52.2,4.4,ecologistes,ps,false,true,true,71.2,51.07,48.93,2.14,2.74,1.18,51.2,48.8,19.01,18.32,0.6
6.62,6.9,7.06,7.18,7.3,7.44,7.72,ecologistes:parti_dabord:74,parti_dabord,ecologistes,horizons,17.3,12.3,5,57.1,42.9,14.2,ecologistes,ecologistes,true,true,true,72.1,53.65,46.35,7.3,7.72,6.62,59.6,40.4,25.77,25.24,0.42
0.2,1.22,1.84,2.24,2.74,3.28,4.3,ecologistes:parti_dabord:75,parti_dabord,ps,ecologistes,15.8,14.9,0.9,50,50,0,ps,ps,true,true,true,70.8,51.37,48.63,2.74,4.3,0.2,50.2,49.8,20.8,19.07,1.56
6.34,6.08,5.94,5.84,5.72,5.58,5.32,ecologistes:parti_dabord:76,parti_dabord,ecologistes,ps,19.3,15.1,4.2,51.6,48.4,3.2,ecologistes,ecologistes,true,true,true,71.1,52.86,47.14,5.72,5.32,6.34,57.1,42.9,19.2,19.63,-0.4
8.74,11.94,13.88,15.16,16.7,18.38,21.6,ecologistes:parti_dabord:77,parti_dabord,ecologistes,rn,20.3,14.1,6.2,54.7,45.3,9.4,ecologistes,ecologistes,true,true,true,71.6,58.35,41.65,16.7,21.6,8.74,60,40,23.17,17.43,4.9
0.5,0.22,0.66,0.94,1.28,1.66,2.36,ecologistes:parti_dabord:78,parti_dabord,ps,ecologistes,15.7,15.4,0.3,56.4,43.6,12.8,ps,ps,true,true,false,70.8,50.64,49.36,1.28,2.36,0.5,49.4,50.6,20.51,19.31,1.08
6.48,7.24,7.68,7.98,8.34,8.74,9.48,ecologistes:parti_dabord:79,parti_dabord,ecologistes,lfi,18.5,13.9,4.6,49.8,50.2,0.4,lfi,ecologistes,false,true,false,71.4,54.17,45.83,8.34,9.48,6.48,57.6,42.4,20.66,19.36,1.14
6.22,5.66,5.32,5.1,4.84,4.54,3.98,ecologistes:parti_dabord:80,parti_dabord,ecologistes,nouvelle_energie,20.2,15.4,4.8,55.7,44.3,11.4,ecologistes,ecologistes,true,true,true,72.7,52.42,47.58,4.84,3.98,6.22,57.7,42.3,23.48,24.61,-0.86
7.76,8.1,8.3,8.44,8.6,8.78,9.12,ecologistes:parti_dabord:81,parti_dabord,ecologistes,horizons,20,14.2,5.8,54.5,45.5,9,ecologistes,ecologistes,true,true,true,72.1,54.3,45.7,8.6,9.12,7.76,59.6,40.4,23.41,22.75,0.52
3.62,5.74,7.02,7.86,8.88,9.98,12.12,ecologistes:parti_dabord:82,parti_dabord,ecologistes,rn,17.1,14.8,2.3,57.4,42.6,14.8,ecologistes,ecologistes,true,true,true,71.7,54.44,45.56,8.88,12.12,3.62,54.5,45.5,23.22,19.43,3.24
9.32,9.8,10.08,10.28,10.5,10.76,11.24,ecologistes:parti_dabord:83,parti_dabord,ecologistes,lr,20.5,13,7.5,50.9,49.1,1.8,ecologistes,ecologistes,true,true,true,72.5,55.25,44.75,10.5,11.24,9.32,62,38,24.64,23.7,0.74
1,4.58,6.72,8.16,9.86,11.72,15.3,ecologistes:parti_dabord:84,parti_dabord,ecologistes,rn,15.6,15.5,0.1,55.9,44.1,11.8,ecologistes,ecologistes,true,true,true,71.6,54.93,45.07,9.86,15.3,1,51.3,48.7,24.89,18.53,5.44
6.44,9.34,11.08,12.22,13.62,15.12,18.02,ecologistes:parti_dabord:85,parti_dabord,ecologistes,rn,17.5,13,4.5,58.6,41.4,17.2,ecologistes,ecologistes,true,true,true,71.6,56.81,43.19,13.62,18.02,6.44,58.4,41.6,24.77,19.59,4.4
3.78,2.96,2.46,2.14,1.74,1.3,0.48,ecologistes:parti_dabord:86,parti_dabord,ecologistes,horizons,17.7,15.3,2.4,51.7,48.3,3.4,ecologistes,ecologistes,true,true,true,72.1,50.87,49.13,1.74,0.48,3.78,54.9,45.1,22.8,24.39,-1.26
3.76,2.68,2.04,1.62,1.12,0.56,0.52,ecologistes:parti_dabord:87,parti_dabord,ecologistes,nouvelle_energie,17.1,14.5,2.6,46.4,53.6,7.2,nouvelle_energie,ecologistes,false,true,false,72.3,50.56,49.44,1.12,0.52,3.76,55.1,44.9,23.89,25.97,-0.6
2.46,1.72,1.3,1,0.64,0.26,0.46,ecologistes:parti_dabord:88,parti_dabord,ecologistes,nouvelle_energie,17.6,16.1,1.5,54.5,45.5,9,ecologistes,ecologistes,true,true,true,72.4,50.32,49.68,0.64,0.46,2.46,53.1,46.9,23.32,24.75,-0.18
2.26,2.78,3.1,3.32,3.58,3.86,4.4,ecologistes:parti_dabord:89,parti_dabord,ecologistes,horizons,15.6,14.4,1.2,50.8,49.2,1.6,ecologistes,ecologistes,true,true,true,72.1,51.79,48.21,3.58,4.4,2.26,53.2,46.8,25.51,24.48,0.82
15.1,15.6,15.9,16.1,16.34,16.6,17.1,ecologistes:parti_dabord:90,parti_dabord,ecologistes,renaissance,23.7,11.9,11.8,56.1,43.9,12.2,ecologistes,ecologistes,true,true,true,72.1,58.17,41.83,16.34,17.1,15.1,67.8,32.2,22.62,21.66,0.76
6.86,6.98,7.06,7.12,7.18,7.26,7.38,ecologistes:parti_dabord:91,parti_dabord,ecologistes,ps,17.8,13.4,4.4,48.3,51.7,3.4,ps,ecologistes,false,true,false,70.8,53.59,46.41,7.18,7.38,6.86,58.2,41.8,19.72,19.5,0.2
10.56,10.56,10.56,10.56,10.58,10.58,10.58,ecologistes:parti_dabord:92,parti_dabord,ecologistes,ps,20.8,13.5,7.3,50.1,49.9,0.2,ecologistes,ecologistes,true,true,true,71,55.29,44.71,10.58,10.58,10.56,61.7,38.3,18.99,18.98,0
3.14,3.44,3.62,3.72,3.88,4.02,4.32,ecologistes:parti_dabord:93,parti_dabord,ecologistes,horizons,16.5,14.5,2,51.6,48.4,3.2,ecologistes,ecologistes,true,true,true,72.1,51.94,48.06,3.88,4.32,3.14,54.3,45.7,24.72,24.16,0.44
0.78,4.74,7.1,8.68,10.58,12.64,16.58,ecologistes:parti_dabord:94,parti_dabord,ecologistes,rn,15,14.9,0.1,55.5,44.5,11,ecologistes,ecologistes,true,true,true,71.4,55.29,44.71,10.58,16.58,0.78,51,49,25.21,18.28,6
10.4,10.54,10.6,10.66,10.72,10.8,10.92,ecologistes:parti_dabord:95,parti_dabord,ecologistes,ps,20.2,13.1,7.1,51.6,48.4,3.2,ecologistes,ecologistes,true,true,true,71,55.36,44.64,10.72,10.92,10.4,61.8,38.2,19.57,19.35,0.2
7.28,8.58,9.36,9.88,10.52,11.2,12.5,ecologistes:parti_dabord:96,parti_dabord,ecologistes,lr,17.6,12,5.6,54.9,45.1,9.8,ecologistes,ecologistes,true,true,true,72.2,55.26,44.74,10.52,12.5,7.28,60.3,39.7,26.11,23.63,1.98
10.28,10.48,10.6,10.68,10.78,10.88,11.08,ecologistes:parti_dabord:97,parti_dabord,ecologistes,ps,22.4,15.3,7.1,54.1,45.9,8.2,ecologistes,ecologistes,true,true,true,71.2,55.39,44.61,10.78,11.08,10.28,60.6,39.4,18.3,17.94,0.3
17.28,19.36,20.58,21.42,22.4,23.48,25.54,ecologistes:parti_dabord:98,parti_dabord,ecologistes,rn,25.4,11.9,13.5,59.5,40.5,19,ecologistes,ecologistes,true,true,true,72.1,61.2,38.8,22.4,25.54,17.28,69,31,22.45,18.6,3.14
11.94,16.08,18.56,20.2,22.18,24.32,28.46,ecologistes:parti_dabord:99,parti_dabord,ecologistes,rn,21.3,12.3,9,57.1,42.9,14.2,ecologistes,ecologistes,true,true,true,71.9,61.09,38.91,22.18,28.46,11.94,64.3,35.7,25.14,17.61,6.28
7.22,7.64,7.9,8.06,8.28,8.5,8.92,ecologistes:parti_dabord:100,parti_dabord,ecologistes,horizons,19.8,14.4,5.4,56,44,12,ecologistes,ecologistes,true,true,true,72.5,54.14,45.86,8.28,8.92,7.22,59.2,40.8,24.72,23.88,0.64
9.96,11.48,12.4,13,13.74,14.52,16.06,ecologistes:parti_dabord:101,parti_dabord,ecologistes,horizons,20.8,13,7.8,53,47,6,ecologistes,ecologistes,true,true,true,72.2,56.87,43.13,13.74,16.06,9.96,62.6,37.4,25.22,22.26,2.32
11.38,12.24,12.76,13.1,13.52,13.98,14.84,ecologistes:parti_dabord:102,parti_dabord,ecologistes,horizons,23.2,14.1,9.1,59.6,40.4,19.2,ecologistes,ecologistes,true,true,true,72.4,56.76,43.24,13.52,14.84,11.38,63.3,36.7,23.58,21.87,1.32
11.36,15.08,17.3,18.78,20.56,22.5,26.2,ecologistes:parti_dabord:103,parti_dabord,ecologistes,rn,21.2,12.8,8.4,56,44,12,ecologistes,ecologistes,true,true,true,71.9,60.28,39.72,20.56,26.2,11.36,63.4,36.6,24.45,17.71,5.64
6.48,9.66,11.56,12.82,14.34,15.98,19.16,ecologistes:parti_dabord:104,parti_dabord,ecologistes,rn,17.4,13,4.4,59,41,18,ecologistes,ecologistes,true,true,true,71.6,57.17,42.83,14.34,19.16,6.48,58.3,41.7,24.57,18.96,4.82
1.86,3.08,3.82,4.32,4.9,5.54,6.76,ecologistes:parti_dabord:105,parti_dabord,ps,ecologistes,15.5,13.5,2,54.6,45.4,9.2,ps,ps,true,true,false,70.7,52.45,47.55,4.9,6.76,1.86,52.4,47.6,21.61,19.56,1.86
9.8,13.76,16.12,17.7,19.6,21.66,25.62,ecologistes:parti_dabord:106,parti_dabord,ecologistes,rn,21.3,14.1,7.2,63.5,36.5,27,ecologistes,ecologistes,true,true,true,71.9,59.8,40.2,19.6,25.62,9.8,61.2,38.8,24.37,17.13,6.02
5.66,5.54,5.46,5.4,5.34,5.26,5.12,ecologistes:parti_dabord:107,parti_dabord,ecologistes,horizons,17.5,13.3,4.2,54.9,45.1,9.8,ecologistes,ecologistes,true,true,true,71.9,52.67,47.33,5.34,5.12,5.66,57.7,42.3,24.09,24.35,-0.22
13.54,16.04,17.54,18.54,19.74,21.04,23.56,ecologistes:parti_dabord:108,parti_dabord,ecologistes,rn,22.7,12.6,10.1,59.4,40.6,18.8,ecologistes,ecologistes,true,true,true,71.9,59.87,40.13,19.74,23.56,13.54,65.3,34.7,22.8,18.24,3.82
9.88,10.3,10.56,10.74,10.94,11.16,11.6,ecologistes:parti_dabord:109,parti_dabord,ecologistes,nouvelle_energie,21.1,13.1,8,58.7,41.3,17.4,ecologistes,ecologistes,true,true,true,72.6,55.47,44.53,10.94,11.6,9.88,62.5,37.5,24.56,23.71,0.66
7.06,7.08,7.1,7.12,7.14,7.16,7.18,ecologistes:parti_dabord:110,parti_dabord,ecologistes,ps,18.7,14.2,4.5,58.2,41.8,16.4,ecologistes,ecologistes,true,true,true,70.9,53.57,46.43,7.14,7.18,7.06,58.1,41.9,19.32,19.26,0.04
12.68,15.88,17.82,19.1,20.62,22.3,25.5,ecologistes:parti_dabord:111,parti_dabord,ecologistes,rn,21.8,12.4,9.4,54.7,45.3,9.4,ecologistes,ecologistes,true,true,true,71.8,60.31,39.69,20.62,25.5,12.68,64.7,35.3,23.65,17.86,4.88
6.36,6.22,6.12,6.06,6,5.92,5.78,ecologistes:parti_dabord:112,parti_dabord,ecologistes,ps,20.6,16.4,4.2,54.1,45.9,8.2,ecologistes,ecologistes,true,true,true,71.3,53,47,6,5.78,6.36,56.7,43.3,18.36,18.61,-0.22
6.62,6.34,6.18,6.06,5.92,5.78,5.5,ecologistes:parti_dabord:113,parti_dabord,ecologistes,horizons,17.9,13,4.9,52.3,47.7,4.6,ecologistes,ecologistes,true,true,true,72.1,52.96,47.04,5.92,5.5,6.62,59.1,40.9,24.38,24.92,-0.42
6.98,10.56,12.7,14.14,15.86,17.72,21.3,ecologistes:parti_dabord:114,parti_dabord,ecologistes,rn,18.9,14,4.9,61.9,38.1,23.8,ecologistes,ecologistes,true,true,true,72,57.93,42.07,15.86,21.3,6.98,58.5,41.5,25.12,18.56,5.44
7.2,9.42,10.76,11.66,12.72,13.88,16.1,ecologistes:parti_dabord:115,parti_dabord,ecologistes,rn,19.8,14.8,5,55.5,44.5,11,ecologistes,ecologistes,true,true,true,71.8,56.36,43.64,12.72,16.1,7.2,58.3,41.7,22.52,18.51,3.38
7.08,10.04,11.82,13,14.42,15.96,18.92,ecologistes:parti_dabord:116,parti_dabord,ecologistes,rn,21.4,16.3,5.1,59.6,40.4,19.2,ecologistes,ecologistes,true,true,true,72,57.21,42.79,14.42,18.92,7.08,57.7,42.3,22.94,17.45,4.5
9.62,11.12,12.02,12.64,13.36,14.14,15.64,ecologistes:parti_dabord:117,parti_dabord,ecologistes,lfi,20.5,13.5,7,58.5,41.5,17,ecologistes,ecologistes,true,true,true,71.3,56.68,43.32,13.36,15.64,9.62,60.7,39.3,20.49,17.89,2.28
3.5,3.64,3.74,3.8,3.86,3.94,4.1,ecologistes:parti_dabord:118,parti_dabord,ecologistes,ps,17.3,15.3,2,47,53,6,ps,ecologistes,false,true,false,70.8,51.93,48.07,3.86,4.1,3.5,54,46,19.58,19.32,0.24
