margin_d0,margin_d0.25,margin_d0.4,margin_d0.5,margin_d0.62,margin_d0.75,margin_d1,runKey,agent,finalistLeft,finalistRight,r1ScoreLeft,r1ScoreRight,r1Margin,r2ScoreLeft,r2ScoreRight,r2Margin,r2Winner,favoriteAtR1,favoriteWonR2,playerIsFinalist,playerWon,turnout,detLeftAt62,detRightAt62,detMarginAt62,detMarginAt100,detMarginAt0,retainedShareLeft,retainedShareRight,transferredShareLeft,transferredShareRight,dampingContributionToMargin
8.08,9.84,10.9,11.62,12.46,13.38,15.16,nouvelle_energie:risque:45,risque,nouvelle_energie,ps,23.3,16.6,6.7,57.2,42.8,14.4,nouvelle_energie,nouvelle_energie,true,true,true,72.1,56.23,43.77,12.46,15.16,8.08,59,41,23.68,20.18,2.7
1.74,2.62,3.16,3.52,3.94,4.42,5.3,nouvelle_energie:risque:46,risque,nouvelle_energie,ps,18,16.6,1.4,50.5,49.5,1,nouvelle_energie,nouvelle_energie,true,true,true,71.4,51.97,48.03,3.94,5.3,1.74,52.2,47.8,23.95,22.24,1.36
12.6,16.72,19.18,20.82,22.8,24.94,29.04,nouvelle_energie:risque:47,risque,nouvelle_energie,rn,24.8,14.3,10.5,58.2,41.8,16.4,nouvelle_energie,nouvelle_energie,true,true,true,71.4,61.4,38.6,22.8,29.04,12.6,63.5,36.5,23.64,16.03,6.24
0.12,0.4,0.7,0.9,1.14,1.4,1.9,nouvelle_energie:risque:48,risque,ps,nouvelle_energie,16.3,16,0.3,47.9,52.1,4.2,nouvelle_energie,ps,false,true,true,71.6,49.43,50.57,1.14,1.9,0.12,50.1,49.9,23.31,24.26,0.76
4.74,9.88,12.96,15.02,17.5,20.18,25.32,nouvelle_energie:risque:49,risque,nouvelle_energie,rn,17.3,13.7,3.6,59.4,40.6,18.8,nouvelle_energie,nouvelle_energie,true,true,true,71,58.75,41.25,17.5,25.32,4.74,56.1,43.9,26.55,17.38,7.82
13.54,17.82,20.4,22.12,24.18,26.4,30.68,nouvelle_energie:risque:50,risque,nouvelle_energie,rn,23.7,13.1,10.6,63,37,26,nouvelle_energie,nouvelle_energie,true,true,true,71.9,62.09,37.91,24.18,30.68,13.54,65.1,34.9,24.64,16.69,6.5
3.4,8.44,11.48,13.5,15.92,18.54,23.6,nouvelle_energie:risque:51,risque,nouvelle_energie,rn,18,15.4,2.6,59.6,40.4,19.2,nouvelle_energie,nouvelle_energie,true,true,true,71,57.96,42.04,15.92,23.6,3.4,54.1,45.9,25.61,16.58,7.68
11.14,15.42,18,19.7,21.76,23.98,28.26,nouvelle_energie:risque:52,risque,nouvelle_energie,rn,23.4,14.7,8.7,54.4,45.6,8.8,nouvelle_energie,nouvelle_energie,true,true,true,71.6,60.88,39.12,21.76,28.26,11.14,61.9,38.1,23.64,15.79,6.5
10.54,12.06,12.98,13.58,14.3,15.1,16.6,nouvelle_energie:risque:53,risque,nouvelle_energie,ps,24.8,16.1,8.7,60.4,39.6,20.8,nouvelle_energie,nouvelle_energie,true,true,true,71.9,57.15,42.85,14.3,16.6,10.54,61.1,38.9,21.88,18.96,2.3
6.16,8.7,10.2,11.22,12.44,13.74,16.28,nouvelle_energie:risque:54,risque,nouvelle_energie,ps,22.8,17.9,4.9,52.1,47.9,4.2,nouvelle_energie,nouvelle_energie,true,true,true,72,56.22,43.78,12.44,16.28,6.16,56.6,43.4,23.52,18.59,3.84
