finalistLeft,finalistRight,r1Margin,r2Margin,r2ScoreLeft,r2ScoreRight,favoriteAtR1,favoriteWonR2
rn,lfi,0.9,0.2,49.9,50.1,rn,false
ps,lfi,2,0.6,50.3,49.7,ps,true
lfi,ps,2.5,1.8,49.1,50.9,lfi,false
lfi,lr,7.4,0.6,50.3,49.7,lfi,true
lfi,ps,1,1.8,49.1,50.9,lfi,false
lfi,lr,1,1,49.5,50.5,lfi,false
lfi,horizons,1.3,0.6,49.7,50.3,lfi,false
horizons,lfi,2.5,0.6,50.3,49.7,horizons,true
ecologistes,lfi,0.1,0.8,49.6,50.4,ecologistes,false
ps,lfi,0.1,1.6,49.2,50.8,ps,false
horizons,lfi,1.5,1.6,50.8,49.2,horizons,true
ps,lfi,2.9,1.4,50.7,49.3,ps,true
lfi,ps,3.1,1.4,49.3,50.7,lfi,false
ps,rn,6.4,1.8,50.9,49.1,ps,true
ps,horizons,3.8,1.8,49.1,50.9,ps,false
ps,nouvelle_energie,9.5,1,49.5,50.5,ps,false
ps,horizons,1.6,1.2,50.6,49.4,ps,true
ps,horizons,7.9,1.8,50.9,49.1,ps,true
ps,ecologistes,8.3,0.6,50.3,49.7,ps,true
ps,rn,0.3,1.2,49.4,50.6,ps,false
ps,horizons,4.1,1.8,49.1,50.9,ps,false
ps,renaissance,11.8,0.6,49.7,50.3,ps,false
ps,renaissance,9.4,1,50.5,49.5,ps,true
nouvelle_energie,ps,1.2,1.4,50.7,49.3,nouvelle_energie,true
horizons,ps,0.6,0.4,50.2,49.8,horizons,true
ps,horizons,3.2,1.4,49.3,50.7,ps,false
ps,nouvelle_energie,4.2,1.4,49.3,50.7,ps,false
ps,lfi,0.2,0.6,49.7,50.3,ps,false
ps,nouvelle_energie,8.1,1.6,49.2,50.8,ps,false
ps,rn,4.8,0.4,50.2,49.8,ps,true
ps,horizons,3.6,1.8,49.1,50.9,ps,false
ps,horizons,8.7,0,50,50,ps,true
ps,rn,1,0,50,50,ps,true
ps,rn,5.2,1.6,50.8,49.2,ps,true
ps,nouvelle_energie,7.3,0.8,49.6,50.4,ps,false
ps,rn,2.2,0.2,50.1,49.9,ps,true
ps,renaissance,5.8,1.8,50.9,49.1,ps,true
ps,rn,1.6,1,49.5,50.5,ps,false
ps,lr,4.4,1.4,49.3,50.7,ps,false
ps,horizons,9,1.2,49.4,50.6,ps,false
ps,nouvelle_energie,5.4,0.4,50.2,49.8,ps,true
ps,horizons,4.5,0.4,50.2,49.8,ps,true
ps,rn,0.2,0.2,49.9,50.1,ps,false
ps,rn,5.3,0.4,50.2,49.8,ps,true
ps,nouvelle_energie,7.7,1,50.5,49.5,ps,true
horizons,ps,0.9,1.8,50.9,49.1,horizons,true
ps,nouvelle_energie,9,1.6,50.8,49.2,ps,true
ps,rn,3.3,0.4,49.8,50.2,ps,false
ps,horizons,8,1,49.5,50.5,ps,false
ps,horizons,6.9,0.6,50.3,49.7,ps,true
ps,rn,1,0.2,50.1,49.9,ps,true
ps,horizons,8.3,0.4,50.2,49.8,ps,true
ps,nouvelle_energie,9.4,0.6,50.3,49.7,ps,true
ps,nouvelle_energie,4.7,1.8,50.9,49.1,ps,true
ps,nouvelle_energie,11.7,1,50.5,49.5,ps,true
ps,rn,0.8,0.4,50.2,49.8,ps,true
ps,renaissance,7.1,0.8,50.4,49.6,ps,true
ps,rn,2.8,0.2,50.1,49.9,ps,true
ps,lr,6.7,0.6,49.7,50.3,ps,false
ps,nouvelle_energie,5.8,1,49.5,50.5,ps,false
ps,nouvelle_energie,9.7,0.6,49.7,50.3,ps,false
ps,renaissance,11.2,0.8,50.4,49.6,ps,true
ps,horizons,8.9,0.2,50.1,49.9,ps,true
ps,rn,6,1.4,50.7,49.3,ps,true
ps,rn,1.4,1,49.5,50.5,ps,false
ps,nouvelle_energie,12.5,0,50,50,ps,true
ps,horizons,5.9,0.2,49.9,50.1,ps,false
ps,rn,0.3,0.4,49.8,50.2,ps,false
ps,horizons,7.5,1,50.5,49.5,ps,true
ps,rn,7.8,1.4,49.3,50.7,ps,false
ps,horizons,6.8,1.6,50.8,49.2,ps,true
ps,horizons,10.2,1.2,50.6,49.4,ps,true
ps,lr,12.3,0.2,49.9,50.1,ps,false
ps,nouvelle_energie,7.5,0.2,49.9,50.1,ps,false
ps,renaissance,9.2,1,50.5,49.5,ps,true
ps,lfi,7,0.2,50.1,49.9,ps,true
ps,renaissance,12.3,0.4,50.2,49.8,ps,true
ps,nouvelle_energie,7.6,0.2,49.9,50.1,ps,false
ps,nouvelle_energie,5.3,0.6,50.3,49.7,ps,true
ps,nouvelle_energie,10.8,1.2,50.6,49.4,ps,true
ps,lfi,10.1,1.2,50.6,49.4,ps,true
ps,lr,4.6,0.6,49.7,50.3,ps,false
ps,rn,1.7,0.6,50.3,49.7,ps,true
ps,nouvelle_energie,6.1,0.2,50.1,49.9,ps,true
ps,horizons,8.7,0.6,49.7,50.3,ps,false
ps,horizons,4.9,0,50,50,ps,true
ps,renaissance,7.4,0,50,50,ps,true
ps,horizons,5,0.8,50.4,49.6,ps,true
ps,nouvelle_energie,13.2,0.8,50.4,49.6,ps,true
ps,horizons,9.6,1.4,49.3,50.7,ps,false
ps,horizons,7.8,1.2,49.4,50.6,ps,false
ps,horizons,5.6,1,50.5,49.5,ps,true
ps,horizons,2.6,1.6,49.2,50.8,ps,false
ps,lr,10.2,1,49.5,50.5,ps,false
ps,lr,6.5,1.8,49.1,50.9,ps,false
ps,nouvelle_energie,9.8,1.8,50.9,49.1,ps,true
