seed,trajectory,valid,firstRoundScore,firstRoundRank,qualified,secondRoundOpponent,won,finalScore,transferability,alliedWithCount,alliedWith,bestRelation,worstRelation,narrativeThreadCount,trajectoryEventsSeen
horizons-cf-39,rupture,true,19.2,1,true,ps,true,95,65,1,"renaissance",100,-14.294677070390826,0,0
horizons-cf-39,coalition,true,19.2,1,true,ps,true,95,65,1,"renaissance",100,-14.294677070390826,0,0
horizons-cf-40,continuity,true,15.2,1,true,nouvelle_energie,true,89,68,2,"lr|renaissance",100,-18.294677070390826,1,0
horizons-cf-40,rupture,true,15.2,1,true,nouvelle_energie,true,89,68,2,"lr|renaissance",100,-18.294677070390826,1,0
horizons-cf-40,coalition,true,15.2,1,true,nouvelle_energie,true,89,68,2,"lr|renaissance",100,-18.294677070390826,1,0
horizons-cf-41,continuity,true,15.7,2,true,rn,true,89,72,2,"nouvelle_energie|renaissance",100,-14.294677070390826,0,0
horizons-cf-41,rupture,true,15.7,2,true,rn,true,89,72,2,"nouvelle_energie|renaissance",100,-14.294677070390826,0,0
horizons-cf-41,coalition,true,15.7,2,true,rn,true,89,72,2,"nouvelle_energie|renaissance",100,-14.294677070390826,0,0
horizons-cf-42,continuity,true,15,2,true,ps,true,88,61,1,"renaissance",100,-18.294677070390826,1,0
horizons-cf-42,rupture,true,15,2,true,ps,true,88,61,1,"renaissance",100,-18.294677070390826,1,0
horizons-cf-42,coalition,true,15,2,true,ps,true,88,61,1,"renaissance",100,-18.294677070390826,1,0
horizons-cf-43,continuity,true,15,1,true,ecologistes,false,84,53,1,"lr",100,-14.294677070390826,1,1
horizons-cf-43,rupture,true,15.8,1,true,ecologistes,false,83,56,0,"",100,-14.294677070390826,1,1
horizons-cf-43,coalition,true,15.2,1,true,ecologistes,true,91,58,2,"lr|renaissance",100,-14.294677070390826,2,1
horizons-cf-44,continuity,true,13.1,2,true,rn,true,85,57,2,"renaissance|lr",100,-14.294677070390826,2,0
horizons-cf-44,rupture,true,13.1,2,true,rn,true,85,57,2,"renaissance|lr",100,-14.294677070390826,2,0
horizons-cf-44,coalition,true,13.1,2,true,rn,true,85,57,2,"renaissance|lr",100,-14.294677070390826,2,0
horizons-cf-45,continuity,true,12.2,4,false,ps,false,61,33,0,"",100,-14.294677070390826,2,0
horizons-cf-45,rupture,true,12.2,4,false,ps,false,61,33,0,"",100,-14.294677070390826,2,0
horizons-cf-45,coalition,true,12.2,4,false,ps,false,61,33,0,"",100,-14.294677070390826,2,0
horizons-cf-46,continuity,true,12,4,false,rn,false,64,37,1,"lr",100,-14.294677070390826,1,0
horizons-cf-46,rupture,true,12,4,false,rn,false,64,37,1,"lr",100,-14.294677070390826,1,0
horizons-cf-46,coalition,true,12,4,false,rn,false,64,37,1,"lr",100,-14.294677070390826,1,0
horizons-cf-47,continuity,true,17.3,1,true,lfi,true,91,57,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-47,rupture,true,17.3,1,true,lfi,true,91,57,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-47,coalition,true,17.3,1,true,lfi,true,91,57,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-48,continuity,true,14.2,4,false,rn,false,68,41,3,"renaissance|nouvelle_energie|lr",100,-14.294677070390826,1,0
horizons-cf-48,rupture,true,14.2,4,false,rn,false,68,41,3,"renaissance|nouvelle_energie|lr",100,-14.294677070390826,1,0
horizons-cf-48,coalition,true,14.2,4,false,rn,false,68,41,3,"renaissance|nouvelle_energie|lr",100,-14.294677070390826,1,0
horizons-cf-49,continuity,true,12.9,3,false,ps,false,66,40,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-49,rupture,true,12.9,3,false,ps,false,66,40,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-49,coalition,true,12.9,3,false,ps,false,66,40,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-50,continuity,true,13.6,2,true,ps,true,85,70,2,"lr|renaissance",100,-18.294677070390826,1,1
horizons-cf-50,rupture,true,14.1,1,true,ps,true,85,59,1,"lr",100,-17.634681351726023,1,1
horizons-cf-50,coalition,true,12.9,3,false,rn,false,67,50,1,"renaissance",100,-14.294677070390826,2,0
horizons-cf-51,continuity,true,11.9,2,true,ps,false,77,56,1,"lr",100,-17.634681351726023,1,2
horizons-cf-51,rupture,true,11.8,2,true,ps,false,77,56,1,"nouvelle_energie",100,-17.634681351726023,1,2
horizons-cf-51,coalition,true,18.9,1,true,renaissance,true,95,63,2,"lr|renaissance",100,-17.634681351726023,2,2
horizons-cf-52,continuity,true,16.7,1,true,renaissance,true,93,63,1,"renaissance",100,-14.294677070390826,3,0
horizons-cf-52,rupture,true,16.7,1,true,renaissance,true,93,63,1,"renaissance",100,-14.294677070390826,3,0
horizons-cf-52,coalition,true,16.7,1,true,renaissance,true,93,63,1,"renaissance",100,-14.294677070390826,3,0
horizons-cf-53,continuity,true,15.6,1,true,ps,false,85,64,2,"lr|renaissance",100,-14.294677070390826,0,0
horizons-cf-53,rupture,true,15.6,1,true,ps,false,85,64,2,"lr|renaissance",100,-14.294677070390826,0,0
