pairKey,playerPartyId,agent,withdrawnPartyId,withdrawnPartyPollingAtFork,maintainR1Leader,withdrawR1Leader,leaderChanged,maintainQualified,withdrawQualified,qualifiedSetChanged,maintainPlayerR1Score,withdrawPlayerR1Score,playerScoreDelta,maintainPlayerWon,withdrawPlayerWon,playerOutcomeChanged
ps:prudent:443,ps,prudent,reconquete,3.07,ps,ps,false,"[""ps"",""lfi""]","[""ps"",""horizons""]",true,21.3,21.1,-0.2,true,true,false
ecologistes:prudent:444,ecologistes,prudent,reconquete,2.96,horizons,ecologistes,true,"[""horizons"",""ecologistes""]","[""ecologistes"",""lfi""]",true,17,19.9,2.9,false,true,true
renaissance:prudent:445,renaissance,prudent,reconquete,3.42,renaissance,renaissance,false,"[""renaissance"",""horizons""]","[""renaissance"",""rn""]",true,17.4,20,2.6,true,true,false
horizons:prudent:446,horizons,prudent,reconquete,3.41,horizons,horizons,false,"[""horizons"",""rn""]","[""horizons"",""ps""]",true,28,29.8,1.8,true,true,false
lr:prudent:447,lr,prudent,reconquete,3.77,lr,lr,false,"[""lr"",""horizons""]","[""lr"",""lfi""]",true,16.1,21,4.9,false,true,true
rn:prudent:448,rn,prudent,reconquete,3.52,rn,rn,false,"[""rn"",""ps""]","[""rn"",""horizons""]",true,25.1,25.7,0.6,true,true,false
reconquete:prudent:449,reconquete,prudent,ecologistes,8.71,horizons,horizons,false,"[""horizons"",""ps""]","[""horizons"",""ps""]",false,11.4,10.6,-0.8,false,false,false
nouvelle_energie:prudent:450,nouvelle_energie,prudent,reconquete,3.4,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""rn""]","[""nouvelle_energie"",""rn""]",false,20.5,19.7,-0.8,true,true,false
lfi:risque:451,lfi,risque,reconquete,3.43,lfi,lfi,false,"[""lfi"",""horizons""]","[""lfi"",""ps""]",true,24.6,25.9,1.3,true,true,false
ps:risque:452,ps,risque,reconquete,3.08,ps,ps,false,"[""ps"",""rn""]","[""ps"",""rn""]",false,26.2,22.3,-3.9,true,true,false
ecologistes:risque:453,ecologistes,risque,reconquete,3.36,ecologistes,ecologistes,false,"[""ecologistes"",""horizons""]","[""ecologistes"",""horizons""]",false,22.6,19.6,-3,true,true,false
renaissance:risque:454,renaissance,risque,reconquete,3.43,renaissance,renaissance,false,"[""renaissance"",""horizons""]","[""renaissance"",""horizons""]",false,19.3,22.4,3.1,false,true,true
horizons:risque:455,horizons,risque,reconquete,3.32,horizons,horizons,false,"[""horizons"",""lfi""]","[""horizons"",""rn""]",true,24.3,22.4,-1.9,true,true,false
lr:risque:456,lr,risque,reconquete,3.47,rn,lr,true,"[""rn"",""lr""]","[""lr"",""horizons""]",true,17.3,20.4,3.1,true,false,true
rn:risque:457,rn,risque,reconquete,3.25,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""horizons""]",false,31.7,27.8,-3.9,true,true,false
reconquete:risque:458,reconquete,risque,ecologistes,9.53,ps,horizons,true,"[""ps"",""rn""]","[""horizons"",""rn""]",true,10.4,10.9,0.5,false,false,false
nouvelle_energie:risque:459,nouvelle_energie,risque,reconquete,3.38,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""rn""]","[""nouvelle_energie"",""rn""]",false,21.9,22.3,0.4,true,true,false
