agent,decisionIndex,polling
ideologiquement_coherent,20,14.8
ideologiquement_coherent,0,13.4
ideologiquement_coherent,5,12.51
ideologiquement_coherent,10,12.885
ideologiquement_coherent,15,14.063
ideologiquement_coherent,20,18.7
ideologiquement_coherent,0,12.6
ideologiquement_coherent,5,12.028
ideologiquement_coherent,10,12.875
ideologiquement_coherent,15,14.293
ideologiquement_coherent,20,11.3
ideologiquement_coherent,0,13.5
ideologiquement_coherent,5,12.802
ideologiquement_coherent,10,13.55
ideologiquement_coherent,15,14.263
ideologiquement_coherent,20,12.1
ideologiquement_coherent,0,11.3
ideologiquement_coherent,5,12.612
ideologiquement_coherent,10,13.938
ideologiquement_coherent,15,14.625
ideologiquement_coherent,20,13.1
ideologiquement_coherent,0,9.8
ideologiquement_coherent,5,11.901
ideologiquement_coherent,10,12.37
ideologiquement_coherent,15,13.651
ideologiquement_coherent,20,17.4
ideologiquement_coherent,0,13.7
ideologiquement_coherent,5,12.602
ideologiquement_coherent,10,13.853
ideologiquement_coherent,15,14.788
ideologiquement_coherent,20,13.6
ideologiquement_coherent,0,8.2
ideologiquement_coherent,5,11.949
ideologiquement_coherent,10,12.69
ideologiquement_coherent,15,13.581
ideologiquement_coherent,20,13.2
ideologiquement_coherent,0,13.9
ideologiquement_coherent,5,12.681
ideologiquement_coherent,10,13.637
ideologiquement_coherent,15,14.498
ideologiquement_coherent,20,11
ideologiquement_coherent,0,13.1
ideologiquement_coherent,5,12.214
ideologiquement_coherent,10,13.426
ideologiquement_coherent,15,14.138
ideologiquement_coherent,20,14.2
ideologiquement_coherent,0,10.2
ideologiquement_coherent,5,12.583
ideologiquement_coherent,10,13.407
ideologiquement_coherent,15,14.429
ideologiquement_coherent,20,17.5
ideologiquement_coherent,0,12
ideologiquement_coherent,5,12.307
ideologiquement_coherent,10,13.248
ideologiquement_coherent,15,14.544
ideologiquement_coherent,20,15
opportuniste_electoral,0,11.6
opportuniste_electoral,5,12.448
opportuniste_electoral,10,12.784
opportuniste_electoral,15,13.657
opportuniste_electoral,20,16.3
opportuniste_electoral,0,13.5
opportuniste_electoral,5,12.362
opportuniste_electoral,10,12.863
opportuniste_electoral,15,13.915
opportuniste_electoral,20,16.4
opportuniste_electoral,0,12.3
opportuniste_electoral,5,12.084
opportuniste_electoral,10,12.429
opportuniste_electoral,15,13.068
opportuniste_electoral,20,13.5
opportuniste_electoral,0,10.2
opportuniste_electoral,5,11.771
opportuniste_electoral,10,12.942
opportuniste_electoral,15,13.375
opportuniste_electoral,20,16.7
opportuniste_electoral,0,13.9
opportuniste_electoral,5,12.681
opportuniste_electoral,10,12.59
opportuniste_electoral,15,12.924
opportuniste_electoral,20,10.1
opportuniste_electoral,0,9.4
opportuniste_electoral,5,11.79
opportuniste_electoral,10,12.084
opportuniste_electoral,15,13.048
opportuniste_electoral,20,14.5
opportuniste_electoral,0,14.1
opportuniste_electoral,5,12.766
opportuniste_electoral,10,12.018
opportuniste_electoral,15,11.893
opportuniste_electoral,20,14.9
opportuniste_electoral,0,10.5
opportuniste_electoral,5,12.754
opportuniste_electoral,10,13.22
opportuniste_electoral,15,13.653
opportuniste_electoral,20,12.4
opportuniste_electoral,0,14.6
opportuniste_electoral,5,12.197
opportuniste_electoral,10,13.352
opportuniste_electoral,15,14.172
opportuniste_electoral,20,15.5
opportuniste_electoral,0,9.5
opportuniste_electoral,5,12.022
opportuniste_electoral,10,13.009
opportuniste_electoral,15,13.673
opportuniste_electoral,20,12.5
opportuniste_electoral,0,13.2
opportuniste_electoral,5,11.667
opportuniste_electoral,10,12.533
opportuniste_electoral,15,13.647
opportuniste_electoral,20,13
opportuniste_electoral,0,14.7
opportuniste_electoral,5,12.305
opportuniste_electoral,10,13.123
opportuniste_electoral,15,14.186
opportuniste_electoral,20,12.7
opportuniste_electoral,0,12.3
opportuniste_electoral,5,11.836
opportuniste_electoral,10,12.371
opportuniste_electoral,15,13.03
opportuniste_electoral,20,14.4
opportuniste_electoral,0,12
opportuniste_electoral,5,11.646
opportuniste_electoral,10,12.358
opportuniste_electoral,15,12.479
opportuniste_electoral,20,9.5
opportuniste_electoral,0,14.9
opportuniste_electoral,5,12.935
opportuniste_electoral,10,13.638
opportuniste_electoral,15,14.249
opportuniste_electoral,20,11.4
parti_dabord,0,14.1
parti_dabord,5,12.73
parti_dabord,10,13.262
parti_dabord,15,14.096
parti_dabord,20,10.6
parti_dabord,0,11.3
parti_dabord,5,11.958
parti_dabord,10,12.85
parti_dabord,15,13.955
parti_dabord,20,15.8
parti_dabord,0,8.7
parti_dabord,5,12.638
parti_dabord,10,13.488
parti_dabord,15,13.789
parti_dabord,20,16.9
parti_dabord,0,8.5
parti_dabord,5,11.719
parti_dabord,10,12.051
parti_dabord,15,12.372
parti_dabord,20,9.3
parti_dabord,0,10.9
parti_dabord,5,12.266
parti_dabord,10,12.918
parti_dabord,15,14.158
parti_dabord,20,13.4
parti_dabord,0,8.1
parti_dabord,5,12.218
parti_dabord,10,13.177
parti_dabord,15,13.744
parti_dabord,20,15.7
parti_dabord,0,10.4
parti_dabord,5,12.354
parti_dabord,10,13.575
parti_dabord,15,14.635
parti_dabord,20,17.6
parti_dabord,0,11.8
parti_dabord,5,11.6
parti_dabord,10,12.409
parti_dabord,15,12.81
parti_dabord,20,14.4
parti_dabord,0,14.1
parti_dabord,5,12.418
parti_dabord,10,13.245
parti_dabord,15,13.097
parti_dabord,20,12.9
parti_dabord,0,13.2
parti_dabord,5,12.385
parti_dabord,10,12.701
parti_dabord,15,12.939
parti_dabord,20,16.6
parti_dabord,0,15.1
parti_dabord,5,12.066
parti_dabord,10,13.181
parti_dabord,15,14.112
parti_dabord,20,12.9
parti_dabord,0,12.4
parti_dabord,5,12.393
parti_dabord,10,13.021
parti_dabord,15,13.913
parti_dabord,20,16.4
parti_dabord,0,12.5
parti_dabord,5,12.415
parti_dabord,10,13.479
parti_dabord,15,13.79
parti_dabord,20,13.8
parti_dabord,0,14.9
parti_dabord,5,11.959
parti_dabord,10,12.338
parti_dabord,15,13.322
parti_dabord,20,16.4
parti_dabord,0,9
parti_dabord,5,12.584
parti_dabord,10,13.999
parti_dabord,15,14.206
parti_dabord,20,13.5
mediatique,0,9.6
mediatique,5,11.355
mediatique,10,11.517
mediatique,15,11.579
mediatique,20,12.8
mediatique,0,9.8
mediatique,5,12.448
mediatique,10,12.598
mediatique,15,12.618
mediatique,20,12.9
mediatique,0,14.1
mediatique,5,11.504
mediatique,10,11.332
mediatique,15,10.929
mediatique,20,14.5
mediatique,0,9
mediatique,5,11.725
mediatique,10,11.177
mediatique,15,10.537
mediatique,20,10.7
mediatique,0,9.1
mediatique,5,12.622
mediatique,10,12.972
mediatique,15,12.545
mediatique,20,11.3
mediatique,0,12.3
mediatique,5,12.296
mediatique,10,12.084
mediatique,15,11.502
mediatique,20,13.3
mediatique,0,14.5
mediatique,5,11.825
mediatique,10,10.909
mediatique,15,11.702
mediatique,20,11.9
mediatique,0,14.5
mediatique,5,12.024
mediatique,10,12.443
mediatique,15,12.555
mediatique,20,9.7
mediatique,0,10.8
mediatique,5,12.398
mediatique,10,12.736
mediatique,15,12.967
mediatique,20,17.4
mediatique,0,8.8
mediatique,5,11.006
mediatique,10,10.402
mediatique,15,11.58
mediatique,20,8.2
mediatique,0,12.6
mediatique,5,11.898
mediatique,10,12.542
mediatique,15,11.578
mediatique,20,10.1
mediatique,0,12.5
mediatique,5,12.152
mediatique,10,12.805
mediatique,15,12.233
mediatique,20,14.6
mediatique,0,8.5
mediatique,5,11.792
mediatique,10,11.495
mediatique,15,12.498
mediatique,20,16
mediatique,0,12.7
mediatique,5,12.273
mediatique,10,12.557
mediatique,15,13.013
mediatique,20,13.2
mediatique,0,9.1
mediatique,5,12.25
mediatique,10,13.718
mediatique,15,13.833
mediatique,20,11
contrarien,0,8.9
contrarien,5,12.181
contrarien,10,12.284
contrarien,15,12.242
contrarien,20,15.4
contrarien,0,7.3
contrarien,5,12.184
contrarien,10,12.484
contrarien,15,12.718
contrarien,20,12.3
contrarien,0,9
contrarien,5,12.01
contrarien,10,12.764
contrarien,15,12.464
contrarien,20,11.9
contrarien,0,9.7
contrarien,5,11.748
contrarien,10,12.734
contrarien,15,12.571
contrarien,20,14.1
contrarien,0,15.6
contrarien,5,12.101
contrarien,10,12.579
contrarien,15,12.081
contrarien,20,13.6
contrarien,0,8.7
contrarien,5,11.538
contrarien,10,11.985
contrarien,15,11.895
contrarien,20,13.6
contrarien,0,14
contrarien,5,12.281
contrarien,10,12.902
contrarien,15,12.601
contrarien,20,11.2
contrarien,0,12.8
contrarien,5,10.881
contrarien,10,11.039
contrarien,15,11.166
contrarien,20,12.7
contrarien,0,12.7
contrarien,5,12.171
contrarien,10,12.208
contrarien,15,11.894
contrarien,20,14.4
contrarien,0,12.8
contrarien,5,11.877
contrarien,10,12.858
contrarien,15,13.082
contrarien,20,13.5
contrarien,0,15.1
contrarien,5,11.689
contrarien,10,12.517
contrarien,15,12.599
contrarien,20,17.2
contrarien,0,9.3
contrarien,5,11.985
contrarien,10,11.743
contrarien,15,12.376
contrarien,20,15.1
contrarien,0,9.9
contrarien,5,11.515
contrarien,10,11.617
contrarien,15,11.694
contrarien,20,11.1
contrarien,0,14.2
contrarien,5,12.02
contrarien,10,12.456
contrarien,15,12.639
contrarien,20,13.5
contrarien,0,11.6
contrarien,5,12.103
contrarien,10,12.947
contrarien,15,12.037
contrarien,20,14
aleatoire,0,16.2
aleatoire,5,12.662
aleatoire,10,13.728
aleatoire,15,13.905
aleatoire,20,16
aleatoire,0,8.5
aleatoire,5,12.341
aleatoire,10,13.3
aleatoire,15,13.028
aleatoire,20,13.6
aleatoire,0,10.2
aleatoire,5,13.973
aleatoire,10,14.17
aleatoire,15,14.708
aleatoire,20,18.2
aleatoire,0,12.3
aleatoire,5,12.837
aleatoire,10,13.305
aleatoire,15,13.912
aleatoire,20,15.4
aleatoire,0,12.3
aleatoire,5,12.713
aleatoire,10,13.486
aleatoire,15,14.084
aleatoire,20,10.2
aleatoire,0,10
aleatoire,5,13.216
aleatoire,10,13.387
aleatoire,15,12.969
aleatoire,20,13.9
aleatoire,0,14.7
aleatoire,5,12.25
aleatoire,10,13.09
aleatoire,15,13.612
aleatoire,20,11.9
aleatoire,0,9.8
aleatoire,5,14.175
aleatoire,10,15.138
aleatoire,15,16.139
aleatoire,20,16.7
aleatoire,0,11
aleatoire,5,13.293
aleatoire,10,13.941
aleatoire,15,13.891
aleatoire,20,16
aleatoire,0,10
aleatoire,5,11.853
aleatoire,10,12.94
aleatoire,15,13.56
aleatoire,20,11.3
aleatoire,0,13.3
aleatoire,5,12.555
aleatoire,10,13.359
aleatoire,15,13.98
aleatoire,20,15.1
aleatoire,0,9.9
aleatoire,5,12.957
aleatoire,10,12.762
aleatoire,15,13.271
aleatoire,20,12.5
aleatoire,0,12
aleatoire,5,13.574
aleatoire,10,14.471
aleatoire,15,14.896
aleatoire,20,16.5
aleatoire,0,11.3
aleatoire,5,12.338
aleatoire,10,11.344
aleatoire,15,12.683
aleatoire,20,11.2
aleatoire,0,9.5
aleatoire,5,13.107
aleatoire,10,15.107
aleatoire,15,15.564
aleatoire,20,15.3
prudent,0,12.4
prudent,5,12.6
prudent,10,12.729
prudent,15,12.974
prudent,20,14.7
prudent,0,13.3
prudent,5,12.125
prudent,10,13.321
prudent,15,14.187
prudent,20,16.4
prudent,0,9.3
prudent,5,13.598
prudent,10,14.567
prudent,15,14.572
prudent,20,14
prudent,0,11.3
prudent,5,11.009
prudent,10,11.971
prudent,15,12.896
prudent,20,13.9
prudent,0,9.7
prudent,5,12.715
prudent,10,13.52
prudent,15,13.617
prudent,20,12.6
prudent,0,12.5
prudent,5,12.603
prudent,10,13.418
prudent,15,13.741
prudent,20,13.1
prudent,0,9.4
prudent,5,12.987
prudent,10,14.003
prudent,15,14.276
prudent,20,17.3
prudent,0,14.5
prudent,5,13.608
prudent,10,14.34
prudent,15,14.469
prudent,20,15.4
prudent,0,8.6
prudent,5,12.428
prudent,10,13.876
prudent,15,14.857
prudent,20,14
prudent,0,10.1
prudent,5,12.398
prudent,10,13.077
prudent,15,13.733
prudent,20,13.7
prudent,0,9.3
prudent,5,13.014
prudent,10,14.605
prudent,15,15.472
prudent,20,14.6
prudent,0,9.3
prudent,5,12.829
prudent,10,13.523
prudent,15,14.954
prudent,20,18.1
prudent,0,11.1
prudent,5,13.052
prudent,10,14.318
prudent,15,15.384
prudent,20,16.7
prudent,0,10.1
prudent,5,12.371
prudent,10,14.127
prudent,15,14.781
prudent,20,13
prudent,0,9.3
prudent,5,13.08
prudent,10,14.039
prudent,15,14.466
prudent,20,17.8
risque,0,14.9
risque,5,12.951
risque,10,14.154
risque,15,14.225
risque,20,13.5
risque,0,13.7
risque,5,11.702
risque,10,12.286
risque,15,13.532
risque,20,18.3
risque,0,12
risque,5,14.948
risque,10,15.59
risque,15,15.91
risque,20,15.9
risque,0,14.3
risque,5,12.602
risque,10,13.663
risque,15,14.602
risque,20,14.4
risque,0,11.3
risque,5,12.505
risque,10,13.463
risque,15,15.048
risque,20,14.9
risque,0,15.2
risque,5,12.925
risque,10,13.743
risque,15,14.482
risque,20,14.8
risque,0,10.7
risque,5,13.022
risque,10,15.017
risque,15,16.101
risque,20,13.9
risque,0,10.5
risque,5,13.788
risque,10,14.977
risque,15,15.489
risque,20,16.9
risque,0,8.3
risque,5,12.51
risque,10,13.392
risque,15,14.274
risque,20,12.5
risque,0,14.7
risque,5,12.398
risque,10,13.169
risque,15,14.258
risque,20,12.3
risque,0,13.8
risque,5,13.33
risque,10,14.212
risque,15,15.422
risque,20,10.9
risque,0,11.6
risque,5,12.579
risque,10,13.577
risque,15,13.536
risque,20,17
risque,0,13
risque,5,13.62
risque,10,14.102
risque,15,13.924
risque,20,11.6
risque,0,11.6
risque,5,12.592
risque,10,14.072
risque,15,14.877
risque,20,16.6
risque,0,10.7
risque,5,13.164
risque,10,14.805
risque,15,15.485
risque,20,20.5
ideologiquement_coherent,0,14.7
ideologiquement_coherent,5,13.121
ideologiquement_coherent,10,14.581
ideologiquement_coherent,15,15.451
ideologiquement_coherent,20,15.1
ideologiquement_coherent,0,8.5
ideologiquement_coherent,5,12.337
ideologiquement_coherent,10,13.691
ideologiquement_coherent,15,15.013
ideologiquement_coherent,20,12.2
ideologiquement_coherent,0,14.4
ideologiquement_coherent,5,13.709
ideologiquement_coherent,10,15.048
ideologiquement_coherent,15,16.371
ideologiquement_coherent,20,15.6
ideologiquement_coherent,0,14.4
ideologiquement_coherent,5,12.962
ideologiquement_coherent,10,14.068
ideologiquement_coherent,15,15.018
ideologiquement_coherent,20,19
ideologiquement_coherent,0,10.1
ideologiquement_coherent,5,12.619
ideologiquement_coherent,10,13.752
ideologiquement_coherent,15,14.511
ideologiquement_coherent,20,17.3
ideologiquement_coherent,0,12.7
ideologiquement_coherent,5,12.707
ideologiquement_coherent,10,14.435
ideologiquement_coherent,15,15.443
ideologiquement_coherent,20,15.3
ideologiquement_coherent,0,13.7
ideologiquement_coherent,5,12.86
ideologiquement_coherent,10,13.663
ideologiquement_coherent,15,14.683
ideologiquement_coherent,20,13.5
ideologiquement_coherent,0,9.6
ideologiquement_coherent,5,13.165
ideologiquement_coherent,10,14.405
ideologiquement_coherent,15,15.634
ideologiquement_coherent,20,17.4
ideologiquement_coherent,0,8.1
ideologiquement_coherent,5,12.252
ideologiquement_coherent,10,13.691
ideologiquement_coherent,15,14.922
ideologiquement_coherent,20,15.7
ideologiquement_coherent,0,11.8
ideologiquement_coherent,5,12.511
ideologiquement_coherent,10,13.408
ideologiquement_coherent,15,14.09
ideologiquement_coherent,20,16.6
ideologiquement_coherent,0,15.3
ideologiquement_coherent,5,12.659
ideologiquement_coherent,10,14.136
ideologiquement_coherent,15,14.782
ideologiquement_coherent,20,14.6
ideologiquement_coherent,0,13.6
ideologiquement_coherent,5,12.226
ideologiquement_coherent,10,13.67
ideologiquement_coherent,15,14.336
ideologiquement_coherent,20,17
ideologiquement_coherent,0,13.6
ideologiquement_coherent,5,14.853
ideologiquement_coherent,10,15.714
ideologiquement_coherent,15,16.675
ideologiquement_coherent,20,17.6
ideologiquement_coherent,0,13.2
ideologiquement_coherent,5,13.425
ideologiquement_coherent,10,14.103
ideologiquement_coherent,15,14.898
ideologiquement_coherent,20,13.8
ideologiquement_coherent,0,12.2
ideologiquement_coherent,5,12.784
ideologiquement_coherent,10,14.136
ideologiquement_coherent,15,15.75
ideologiquement_coherent,20,14.5
opportuniste_electoral,0,15.1
opportuniste_electoral,5,12.763
opportuniste_electoral,10,13.239
opportuniste_electoral,15,14.071
opportuniste_electoral,20,15.3
opportuniste_electoral,0,12.8
opportuniste_electoral,5,11.642
opportuniste_electoral,10,11.886
opportuniste_electoral,15,10.784
opportuniste_electoral,20,11.4
opportuniste_electoral,0,11.7
opportuniste_electoral,5,13.172
opportuniste_electoral,10,14.352
opportuniste_electoral,15,14.708
opportuniste_electoral,20,15.9
opportuniste_electoral,0,11.8
opportuniste_electoral,5,12.05
opportuniste_electoral,10,12.523
opportuniste_electoral,15,14.196
opportuniste_electoral,20,16.9
opportuniste_electoral,0,12.9
opportuniste_electoral,5,12.442
opportuniste_electoral,10,13.552
opportuniste_electoral,15,13.315
opportuniste_electoral,20,13.2
opportuniste_electoral,0,11.5
opportuniste_electoral,5,13.04
opportuniste_electoral,10,12.312
opportuniste_electoral,15,12.593
opportuniste_electoral,20,14.3
opportuniste_electoral,0,9.7
opportuniste_electoral,5,11.004
opportuniste_electoral,10,11.758
opportuniste_electoral,15,13
opportuniste_electoral,20,18.8
opportuniste_electoral,0,9.6
opportuniste_electoral,5,13.651
opportuniste_electoral,10,14.113
opportuniste_electoral,15,14.367
opportuniste_electoral,20,16.3
opportuniste_electoral,0,9.7
opportuniste_electoral,5,12.763
opportuniste_electoral,10,12.157
opportuniste_electoral,15,11.722
opportuniste_electoral,20,9.9
opportuniste_electoral,0,9.7
opportuniste_electoral,5,12.972
opportuniste_electoral,10,13.691
opportuniste_electoral,15,13.439
opportuniste_electoral,20,10.5
opportuniste_electoral,0,12.5
opportuniste_electoral,5,12.022
opportuniste_electoral,10,12.577
opportuniste_electoral,15,13.521
opportuniste_electoral,20,12.6
opportuniste_electoral,0,10.3
opportuniste_electoral,5,12.298
opportuniste_electoral,10,12.697
opportuniste_electoral,15,12.828
opportuniste_electoral,20,9.7
opportuniste_electoral,0,16.2
opportuniste_electoral,5,13.398
opportuniste_electoral,10,13.965
opportuniste_electoral,15,13.632
opportuniste_electoral,20,14.8
opportuniste_electoral,0,9.4
opportuniste_electoral,5,13.016
opportuniste_electoral,10,14.166
opportuniste_electoral,15,15.57
opportuniste_electoral,20,15.7
opportuniste_electoral,0,12.2
opportuniste_electoral,5,13.279
opportuniste_electoral,10,13.615
opportuniste_electoral,15,13.321
opportuniste_electoral,20,15.3
parti_dabord,0,13.5
parti_dabord,5,11.915
parti_dabord,10,12.91
parti_dabord,15,13.782
parti_dabord,20,11.5
parti_dabord,0,14.7
parti_dabord,5,11.921
parti_dabord,10,12.791
parti_dabord,15,13.265
parti_dabord,20,11.3
parti_dabord,0,9.5
parti_dabord,5,13.353
parti_dabord,10,14.55
parti_dabord,15,15.028
parti_dabord,20,14.7
parti_dabord,0,10.2
parti_dabord,5,13.135
parti_dabord,10,14.076
parti_dabord,15,15.376
parti_dabord,20,18.2
parti_dabord,0,13
parti_dabord,5,12.383
parti_dabord,10,13.446
parti_dabord,15,14.729
parti_dabord,20,15.6
parti_dabord,0,11.7
parti_dabord,5,11.972
parti_dabord,10,12.711
parti_dabord,15,12.993
parti_dabord,20,15.6
parti_dabord,0,13.4
parti_dabord,5,12.14
parti_dabord,10,13.108
parti_dabord,15,13.551
parti_dabord,20,16.8
parti_dabord,0,8.8
parti_dabord,5,12.967
parti_dabord,10,13.977
parti_dabord,15,14.817
parti_dabord,20,16.7
parti_dabord,0,10.9
parti_dabord,5,12.209
parti_dabord,10,12.688
parti_dabord,15,13.111
parti_dabord,20,14.8
parti_dabord,0,9.7
parti_dabord,5,12.478
parti_dabord,10,13.123
parti_dabord,15,14.353
parti_dabord,20,17
parti_dabord,0,10.4
parti_dabord,5,12.498
parti_dabord,10,12.975
parti_dabord,15,13.845
parti_dabord,20,14.6
parti_dabord,0,15.3
parti_dabord,5,12.274
parti_dabord,10,12.491
parti_dabord,15,13.244
parti_dabord,20,11.1
parti_dabord,0,14.7
parti_dabord,5,13.107
parti_dabord,10,14.016
parti_dabord,15,14.736
parti_dabord,20,18.5
parti_dabord,0,10.4
parti_dabord,5,12.603
parti_dabord,10,12.518
parti_dabord,15,13.367
parti_dabord,20,14.5
parti_dabord,0,13.7
parti_dabord,5,12.969
parti_dabord,10,13.36
parti_dabord,15,13.687
parti_dabord,20,15.6
mediatique,0,11.4
mediatique,5,11.774
mediatique,10,12.39
mediatique,15,12.989
mediatique,20,16.6
mediatique,0,10.7
mediatique,5,11.93
mediatique,10,12.344
mediatique,15,12.408
mediatique,20,9.8
mediatique,0,10.2
mediatique,5,13.019
mediatique,10,14.065
mediatique,15,13.313
mediatique,20,14.7
mediatique,0,13.2
mediatique,5,12.386
mediatique,10,12.807
mediatique,15,12.894
mediatique,20,10.7
mediatique,0,7.7
mediatique,5,11.49
mediatique,10,11.531
mediatique,15,10.751
mediatique,20,7.9
mediatique,0,12.4
mediatique,5,12.491
mediatique,10,12.901
mediatique,15,14.133
mediatique,20,18.1
mediatique,0,9.7
mediatique,5,11.426
mediatique,10,11.461
mediatique,15,11.682
mediatique,20,9
mediatique,0,9
mediatique,5,13.407
mediatique,10,13.906
mediatique,15,14.839
mediatique,20,13.6
mediatique,0,14.2
mediatique,5,11.651
mediatique,10,12.504
mediatique,15,13.53
mediatique,20,17.2
mediatique,0,14.2
mediatique,5,12.413
mediatique,10,13.633
mediatique,15,13.747
mediatique,20,16.6
mediatique,0,8.9
mediatique,5,12.288
mediatique,10,12.585
mediatique,15,14.147
mediatique,20,11.2
mediatique,0,7.7
mediatique,5,12.003
mediatique,10,12.674
mediatique,15,12.942
mediatique,20,14.3
mediatique,0,10.3
mediatique,5,13.377
mediatique,10,14.086
mediatique,15,14.561
mediatique,20,12.9
mediatique,0,14.3
mediatique,5,12.074
mediatique,10,13.236
mediatique,15,13.763
mediatique,20,15.1
mediatique,0,10.6
mediatique,5,12.184
mediatique,10,12.372
mediatique,15,13.6
mediatique,20,15.7
contrarien,0,9.9
contrarien,5,11.442
contrarien,10,11.614
