partyId,agent,seedIndex,sourcePartyId,share,abstentionRate,leftShare,rightShare
lfi,aleatoire,7,reconquete,7,0.3623198402201497,0.4450533499143585,0.5549466500856415
lfi,aleatoire,8,ecologistes,6.3,0.2668538120233696,0.4689237417434629,0.5310762582565371
lfi,aleatoire,8,renaissance,12,0.3914954461919777,0.4998989357859514,0.5001010642140487
lfi,aleatoire,8,horizons,10.2,0.4236625158141757,0.5046550601542794,0.4953449398457206
lfi,aleatoire,8,lr,11.1,0.46,0.5159777143998507,0.48402228560014926
lfi,aleatoire,8,rn,10.6,0.46,0.5366080687621028,0.46339193123789724
lfi,aleatoire,8,reconquete,6.3,0.46,0.5409811064926925,0.4590188935073075
lfi,aleatoire,8,nouvelle_energie,12.6,0.46,0.5153585583323549,0.4846414416676451
lfi,aleatoire,9,ps,9,0.3267077917812026,0.4327450890808398,0.5672549109191602
lfi,aleatoire,9,ecologistes,10.3,0.31535575623941264,0.3837441327164032,0.6162558672835968
lfi,aleatoire,9,renaissance,8.4,0.33259453278821505,0.507237797200711,0.49276220279928895
lfi,aleatoire,9,horizons,12.6,0.22488775604841743,0.5789545528715176,0.42104544712848235
lfi,aleatoire,9,lr,12.7,0.16718267339539622,0.6169453321787348,0.3830546678212652
lfi,aleatoire,9,rn,11.9,0.37526970766091716,0.5263906098371007,0.47360939016289927
lfi,aleatoire,9,reconquete,9,0.36191984022014967,0.5497343531684014,0.45026564683159864
lfi,aleatoire,10,ps,8.8,0.3290820248925607,0.6626221716592643,0.3373778283407357
lfi,aleatoire,10,ecologistes,13.4,0.4103936847719689,0.6471457723410166,0.35285422765898344
lfi,aleatoire,10,renaissance,10.5,0.46,0.5455921917189149,0.45440780828108507
lfi,aleatoire,10,horizons,10.8,0.46,0.5196395423635489,0.4803604576364511
lfi,aleatoire,10,lr,10.3,0.4068726566023798,0.4646063575088724,0.5353936424911276
lfi,aleatoire,10,reconquete,6.3,0.2771280715344861,0.35291501156084837,0.6470849884391516
lfi,aleatoire,10,nouvelle_energie,11.7,0.4424697076609171,0.47743744633113483,0.5225625536688652
lfi,aleatoire,11,ps,12.7,0.3203483163849084,0.4634612957222587,0.5365387042777413
lfi,aleatoire,11,ecologistes,11.3,0.3504054067433564,0.44146792912940114,0.5585320708705989
lfi,aleatoire,11,renaissance,11.4,0.1541969921660684,0.6143051098139094,0.3856948901860906
lfi,aleatoire,11,lr,8.5,0.30106970355619816,0.555884114816379,0.444115885183621
lfi,aleatoire,11,rn,11.3,0.435866785515875,0.513766391787917,0.48623360821208295
lfi,aleatoire,11,reconquete,6.1,0.45090053285801407,0.5313030853020826,0.4686969146979174
lfi,aleatoire,11,nouvelle_energie,10,0.23488775604841744,0.6119131145863637,0.38808688541363634
lfi,aleatoire,12,lfi,12.2,0.46,0.45505167059276125,0.5449483294072388
lfi,aleatoire,12,ps,10.4,0.46,0.441144602242089,0.5588553977579109
lfi,aleatoire,12,ecologistes,10.9,0.46,0.4161338529346432,0.5838661470653568
lfi,aleatoire,12,renaissance,9.2,0.354994532788215,0.41863413270588634,0.5813658672941137
lfi,aleatoire,12,horizons,11.7,0.24728775604841746,0.3770579691295913,0.6229420308704088
